v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,solving_time,num_placed_nodes,num_routed_links
54,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,92,0,1402.1173299335453,5188,764,4424,0.0,0.0,5,1241.1173299335453,161.0,3,2,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
55,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,1,1403.0,5188,764,4424,0.0,0.0,54,165.2786181862825,1403.0,7,7,False,"{5: 24, 3: 16, 4: 15, 6: 23}","{(3, 5): [(16, 8), (8, 24)], (4, 5): [(15, 7), (7, 3), (3, 8), (8, 24)], (6, 5): [(23, 7), (7, 3), (3, 8), (8, 24)]}","{(5, 24): {'cpu': 7}, (3, 16): {'cpu': 14}, (4, 15): {'cpu': 7}, (6, 23): {'cpu': 2}}","{((3, 5), (16, 8)): {'bw': 41}, ((3, 5), (8, 24)): {'bw': 41}, ((4, 5), (15, 7)): {'bw': 14}, ((4, 5), (7, 3)): {'bw': 14}, ((4, 5), (3, 8)): {'bw': 14}, ((4, 5), (8, 24)): {'bw': 14}, ((6, 5), (23, 7)): {'bw': 45}, ((6, 5), (7, 3)): {'bw': 45}, ((6, 5), (3, 8)): {'bw': 45}, ((6, 5), (8, 24)): {'bw': 45}}",0.0,0.0,116.0,58.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,83.0,"{'node_level': {'cpu': 9}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -51}, 3: {'cpu': -41}, 4: {'cpu': -29}, 6: {'cpu': -39}, 0: {'cpu': 9}}, 'link_level': {(3, 5): {'bw': -67}, (4, 5): {'bw': -93}, (6, 5): {'bw': -48}}, 'path_level': {(3, 5): {}, (4, 5): {}, (6, 5): {}}}","{'node_level': {5: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 9}}, 'link_level': {(3, 5): {'bw': 0}, (4, 5): {'bw': 0}, (6, 5): {'bw': 0}}, 'path_level': {(3, 5): {}, (4, 5): {}, (6, 5): {}}}",[],-39.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0007231235504150391,4.0,3.0
55,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,0,1419.1832524739898,5188,764,4424,0.0,0.0,18,915.1832524739899,504.0,9,13,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,95,1,1424.0,5188,764,4424,0.0,0.0,55,218.93063957679414,1424.0,5,6,False,"{3: 24, 2: 16, 0: 15, 1: 23}","{(2, 3): [(16, 8), (8, 24)], (0, 3): [(15, 7), (7, 3), (3, 8), (8, 24)], (1, 2): [(23, 7), (7, 3), (3, 8), (8, 16)], (1, 3): [(23, 7), (7, 3), (3, 8), (8, 24)]}","{(3, 24): {'cpu': 6}, (2, 16): {'cpu': 10}, (0, 15): {'cpu': 17}, (1, 23): {'cpu': 9}}","{((2, 3), (16, 8)): {'bw': 27}, ((2, 3), (8, 24)): {'bw': 27}, ((0, 3), (15, 7)): {'bw': 30}, ((0, 3), (7, 3)): {'bw': 30}, ((0, 3), (3, 8)): {'bw': 30}, ((0, 3), (8, 24)): {'bw': 30}, ((1, 2), (23, 7)): {'bw': 13}, ((1, 2), (7, 3)): {'bw': 13}, ((1, 2), (3, 8)): {'bw': 13}, ((1, 2), (8, 16)): {'bw': 13}, ((1, 3), (23, 7)): {'bw': 14}, ((1, 3), (7, 3)): {'bw': 14}, ((1, 3), (3, 8)): {'bw': 14}, ((1, 3), (8, 24)): {'bw': 14}}",0.0,0.0,88.0,44.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,94.0,"{'node_level': {'cpu': 2}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -52}, 2: {'cpu': -45}, 0: {'cpu': -19}, 1: {'cpu': -32}, 4: {'cpu': 2}}, 'link_level': {(2, 3): {'bw': -81}, (0, 3): {'bw': -77}, (1, 2): {'bw': -64}, (1, 3): {'bw': -50}}, 'path_level': {(2, 3): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 2}}, 'link_level': {(2, 3): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(2, 3): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}",[],-32.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0007367134094238281,4.0,4.0
57,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,1,1443.0,5188,764,4424,0.0,0.0,56,1133.0313669311772,1443.0,8,17,False,"{6: 24, 1: 16, 5: 15}","{(1, 6): [(16, 8), (8, 24)], (5, 1): [(15, 7), (7, 3), (3, 8), (8, 16)], (5, 6): [(15, 7), (7, 3), (3, 8), (8, 24)]}","{(6, 24): {'cpu': 20}, (1, 16): {'cpu': 19}, (5, 15): {'cpu': 18}}","{((1, 6), (16, 8)): {'bw': 46}, ((1, 6), (8, 24)): {'bw': 46}, ((5, 1), (15, 7)): {'bw': 48}, ((5, 1), (7, 3)): {'bw': 48}, ((5, 1), (3, 8)): {'bw': 48}, ((5, 1), (8, 16)): {'bw': 48}, ((5, 6), (15, 7)): {'bw': 48}, ((5, 6), (7, 3)): {'bw': 48}, ((5, 6), (3, 8)): {'bw': 48}, ((5, 6), (8, 24)): {'bw': 48}}",0.0,0.0,212.0,106.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,243.0,"{'node_level': {'cpu': 11}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -38}, 1: {'cpu': -36}, 5: {'cpu': -18}, 4: {'cpu': 11}}, 'link_level': {(1, 6): {'bw': -62}, (5, 1): {'bw': -14}, (5, 6): {'bw': -11}, (4, 1): {'bw': 100.0}}, 'path_level': {(1, 6): {}, (5, 1): {}, (5, 6): {}, (4, 1): {}}}","{'node_level': {6: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 11}}, 'link_level': {(1, 6): {'bw': 0}, (5, 1): {'bw': 0}, (5, 6): {'bw': 0}, (4, 1): {'bw': 100.0}}, 'path_level': {(1, 6): {}, (5, 1): {}, (5, 6): {}, (4, 1): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,10.0,0.0008709430694580078,3.0,3.0
58,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,97,1,1463.0,5188,764,4424,0.0,0.0,57,138.19908195597117,1463.0,10,23,False,"{7: 24, 1: 16, 5: 15}","{(1, 7): [(16, 8), (8, 24)], (5, 1): [(15, 7), (7, 3), (3, 8), (8, 16)], (5, 7): [(15, 7), (7, 3), (3, 8), (8, 24)]}","{(7, 24): {'cpu': 20}, (1, 16): {'cpu': 12}, (5, 15): {'cpu': 8}}","{((1, 7), (16, 8)): {'bw': 50}, ((1, 7), (8, 24)): {'bw': 50}, ((5, 1), (15, 7)): {'bw': 29}, ((5, 1), (7, 3)): {'bw': 29}, ((5, 1), (3, 8)): {'bw': 29}, ((5, 1), (8, 16)): {'bw': 29}, ((5, 7), (15, 7)): {'bw': 48}, ((5, 7), (7, 3)): {'bw': 48}, ((5, 7), (3, 8)): {'bw': 48}, ((5, 7), (8, 24)): {'bw': 48}}",0.0,0.0,226.0,113.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,186.0,"{'node_level': {'cpu': 10}, 'link_level': {}, 'path_level': {}}","{'node_level': {7: {'cpu': -38}, 1: {'cpu': -43}, 5: {'cpu': -28}, 2: {'cpu': 10}}, 'link_level': {(1, 7): {'bw': -58}, (5, 1): {'bw': -29}, (5, 7): {'bw': -30}, (2, 1): {'bw': -9}, (2, 5): {'bw': -33}, (2, 7): {'bw': 100.0}}, 'path_level': {(1, 7): {}, (5, 1): {}, (5, 7): {}, (2, 1): {}, (2, 5): {}, (2, 7): {}}}","{'node_level': {7: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 10}}, 'link_level': {(1, 7): {'bw': 0}, (5, 1): {'bw': 0}, (5, 7): {'bw': 0}, (2, 1): {'bw': 0}, (2, 5): {'bw': 0}, (2, 7): {'bw': 100.0}}, 'path_level': {(1, 7): {}, (5, 1): {}, (5, 7): {}, (2, 1): {}, (2, 5): {}, (2, 7): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,10.0,0.0010380744934082031,3.0,3.0
58,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,98,0,1466.3718779247286,5188,764,4424,0.0,0.0,48,203.37187792472858,1263.0,10,23,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
58,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,99,0,1468.9812787583965,5188,764,4424,0.0,0.0,28,705.9812787583966,763.0,5,5,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
59,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,1,1497.0,5188,764,4424,0.0,0.0,58,12.086972016255492,1497.0,2,1,False,"{0: 24, 1: 16}","{(1, 0): [(16, 8), (8, 24)]}","{(0, 24): {'cpu': 10}, (1, 16): {'cpu': 5}}","{((1, 0), (16, 8)): {'bw': 30}, ((1, 0), (8, 24)): {'bw': 30}}",0.0,0.0,30.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,10.0,"{'node_level': {'cpu': -50}, 'link_level': {'bw': -78}, 'path_level': {}}","{'node_level': {0: {'cpu': -48}, 1: {'cpu': -50}}, 'link_level': {(1, 0): {'bw': -78}}, 'path_level': {(1, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}}, 'path_level': {(1, 0): {}}}",[],-50.0,0.0,False,True,False,0,[],0,0.0,2.0,0.0006327629089355469,2.0,1.0
59,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,101,0,1509.0869720162555,5188,764,4424,0.0,0.0,58,12.086972016255492,1497.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
