v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,num_placed_nodes,num_routed_links,seed
1,1,1,507.0,630.0,60820.61297526139,75575.90961423013,0.8047619047619048,0.8047619047619048,7,0,1,18.0,16341,2435,13906,0.062018489984591696,0.032626086956521694,0,119.96176129242878,18.0,7,8,True,"{4: 20, 3: 0, 0: 1, 1: 22, 2: 23, 6: 4, 5: 12}","{(3, 4): [(0, 20)], (0, 3): [(1, 4), (4, 0)], (0, 4): [(1, 20)], (1, 3): [(22, 20), (20, 0)], (1, 4): [(22, 20)], (2, 4): [(23, 20)], (6, 0): [(4, 1)], (5, 6): [(12, 0), (0, 4)]}","{(4, 20): {'cpu': 25}, (3, 0): {'cpu': 26}, (0, 1): {'cpu': 29}, (1, 22): {'cpu': 22}, (2, 23): {'cpu': 27}, (6, 4): {'cpu': 16}, (5, 12): {'cpu': 16}}","{((3, 4), (0, 20)): {'bw': 41}, ((0, 3), (1, 4)): {'bw': 68}, ((0, 3), (4, 0)): {'bw': 68}, ((0, 4), (1, 20)): {'bw': 29}, ((1, 3), (22, 20)): {'bw': 33}, ((1, 3), (20, 0)): {'bw': 33}, ((1, 4), (22, 20)): {'bw': 76}, ((2, 4), (23, 20)): {'bw': 29}, ((6, 0), (4, 1)): {'bw': 48}, ((5, 6), (12, 0)): {'bw': 22}, ((5, 6), (0, 4)): {'bw': 22}}",630.0,507.0,322.0,161.0,346.0,161.0,346.0,161.0,469.0,123.0,0.8047619047619048,75575.90961423013,60820.61297526139,96.54065551628793,Success,0.0,"{'node_level': {'cpu': -40}, 'link_level': {'bw': -207}, 'path_level': {}}","{'node_level': {4: {'cpu': -71}, 3: {'cpu': -68}, 0: {'cpu': -68}, 1: {'cpu': -45}, 2: {'cpu': -60}, 6: {'cpu': -37}, 5: {'cpu': -40}}, 'link_level': {(3, 4): {'bw': -306}, (0, 3): {'bw': -274}, (0, 4): {'bw': -203}, (1, 3): {'bw': -273}, (1, 4): {'bw': -211}, (2, 4): {'bw': -172}, (6, 0): {'bw': -226}, (5, 6): {'bw': -207}}, 'path_level': {(3, 4): {}, (0, 3): {}, (0, 4): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (6, 0): {}, (5, 6): {}}}","{'node_level': {4: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(3, 4): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (6, 0): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(3, 4): {}, (0, 3): {}, (0, 4): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (6, 0): {}, (5, 6): {}}}",[],-40.0,0.0,True,True,False,0,[],0,0.0,0.0,7.0,8.0,0
2,2,2,760.0,939.0,153194.41330632166,188396.08472212584,0.8093716719914803,0.8131507272684314,10,1,1,35.0,16032,2358,13674,0.09167950693374427,0.04876521739130435,1,365.1138353006334,35.0,3,3,True,"{2: 13, 1: 2, 0: 3}","{(1, 2): [(2, 13)], (0, 1): [(3, 5), (5, 2)], (0, 2): [(3, 13)]}","{(2, 13): {'cpu': 34}, (1, 2): {'cpu': 24}, (0, 3): {'cpu': 19}}","{((1, 2), (2, 13)): {'bw': 72}, ((0, 1), (3, 5)): {'bw': 56}, ((0, 1), (5, 2)): {'bw': 56}, ((0, 2), (3, 13)): {'bw': 48}}",309.0,253.0,154.0,77.0,176.0,77.0,176.0,77.0,232.0,56.0,0.8187702265372169,112820.17510789573,92373.80033106025,298.9443376409717,Success,0.0,"{'node_level': {'cpu': -34}, 'link_level': {'bw': -153}, 'path_level': {}}","{'node_level': {2: {'cpu': -40}, 1: {'cpu': -26}, 0: {'cpu': -34}}, 'link_level': {(1, 2): {'bw': -313}, (0, 1): {'bw': -153}, (0, 2): {'bw': -303}}, 'path_level': {(1, 2): {}, (0, 1): {}, (0, 2): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(1, 2): {'bw': 0}, (0, 1): {'bw': 0}, (0, 2): {'bw': 0}}, 'path_level': {(1, 2): {}, (0, 1): {}, (0, 2): {}}}",[],-34.0,0.0,True,True,False,0,[],0,0.0,0.0,3.0,3.0,0
3,3,3,1121.0,1370.0,157887.00716644552,193998.59982936515,0.8182481751824817,0.8138564263109002,13,2,1,49.0,15601,2234,13367,0.13944530046224957,0.07012173913043473,2,12.998874958791893,49.0,6,6,True,"{4: 28, 2: 0, 5: 1, 0: 30, 1: 31, 3: 4}","{(2, 4): [(0, 28)], (5, 4): [(1, 28)], (0, 4): [(30, 28)], (1, 2): [(31, 28), (28, 0)], (1, 5): [(31, 28), (28, 1)], (3, 5): [(4, 1)]}","{(4, 28): {'cpu': 21}, (2, 0): {'cpu': 38}, (5, 1): {'cpu': 12}, (0, 30): {'cpu': 10}, (1, 31): {'cpu': 20}, (3, 4): {'cpu': 23}}","{((2, 4), (0, 28)): {'bw': 50}, ((5, 4), (1, 28)): {'bw': 23}, ((0, 4), (30, 28)): {'bw': 57}, ((1, 2), (31, 28)): {'bw': 27}, ((1, 2), (28, 0)): {'bw': 27}, ((1, 5), (31, 28)): {'bw': 43}, ((1, 5), (28, 1)): {'bw': 43}, ((3, 5), (4, 1)): {'bw': 37}}",431.0,361.0,248.0,124.0,237.0,124.0,237.0,124.0,307.0,70.0,0.8375870069605569,5602.5151072393055,4692.593860123873,10.887688770589033,Success,0.0,"{'node_level': {'cpu': -14}, 'link_level': {'bw': -189}, 'path_level': {}}","{'node_level': {4: {'cpu': -49}, 2: {'cpu': -30}, 5: {'cpu': -56}, 0: {'cpu': -45}, 1: {'cpu': -45}, 3: {'cpu': -14}}, 'link_level': {(2, 4): {'bw': -297}, (5, 4): {'bw': -370}, (0, 4): {'bw': -154}, (1, 2): {'bw': -270}, (1, 5): {'bw': -304}, (3, 5): {'bw': -189}}, 'path_level': {(2, 4): {}, (5, 4): {}, (0, 4): {}, (1, 2): {}, (1, 5): {}, (3, 5): {}}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(2, 4): {'bw': 0}, (5, 4): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}, (3, 5): {'bw': 0}}, 'path_level': {(2, 4): {}, (5, 4): {}, (0, 4): {}, (1, 2): {}, (1, 5): {}, (3, 5): {}}}",[],-14.0,0.0,True,True,False,0,[],0,0.0,0.0,6.0,6.0,0
3,3,2,1121.0,1370.0,157887.00716644552,193998.59982936515,0.8182481751824817,0.8138564263109002,13,3,0,61.998874958791895,16032,2358,13674,0.09167950693374427,0.04876521739130435,2,12.998874958791893,49.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,0
4,4,3,1719.0,2223.0,227411.98642654362,293170.5184060603,0.7732793522267206,0.775698687790848,13,4,1,72.0,15179,2210,12969,0.14869029275808932,0.09780869565217387,3,116.26250712390987,72.0,6,8,True,"{2: 28, 5: 0, 0: 1, 3: 30, 4: 31, 1: 4}","{(5, 2): [(0, 28)], (0, 2): [(1, 28)], (0, 5): [(1, 4), (4, 0)], (3, 0): [(30, 28), (28, 1)], (3, 2): [(30, 28)], (4, 2): [(31, 28)], (4, 5): [(31, 28), (28, 0)], (1, 3): [(4, 0), (0, 28), (28, 30)]}","{(2, 28): {'cpu': 26}, (5, 0): {'cpu': 28}, (0, 1): {'cpu': 25}, (3, 30): {'cpu': 29}, (4, 31): {'cpu': 28}, (1, 4): {'cpu': 12}}","{((5, 2), (0, 28)): {'bw': 69}, ((0, 2), (1, 28)): {'bw': 62}, ((0, 5), (1, 4)): {'bw': 48}, ((0, 5), (4, 0)): {'bw': 48}, ((3, 0), (30, 28)): {'bw': 38}, ((3, 0), (28, 1)): {'bw': 38}, ((3, 2), (30, 28)): {'bw': 73}, ((4, 2), (31, 28)): {'bw': 46}, ((4, 5), (31, 28)): {'bw': 59}, ((4, 5), (28, 0)): {'bw': 59}, ((1, 3), (4, 0)): {'bw': 55}, ((1, 3), (0, 28)): {'bw': 55}, ((1, 3), (28, 30)): {'bw': 55}}",853.0,598.0,296.0,148.0,450.0,148.0,450.0,148.0,705.0,255.0,0.7010550996483002,99171.91857669511,69524.9792600981,81.50642351711384,Success,0.0,"{'node_level': {'cpu': -25}, 'link_level': {'bw': -45}, 'path_level': {}}","{'node_level': {2: {'cpu': -44}, 5: {'cpu': -40}, 0: {'cpu': -43}, 3: {'cpu': -26}, 4: {'cpu': -37}, 1: {'cpu': -25}}, 'link_level': {(5, 2): {'bw': -278}, (0, 2): {'bw': -331}, (0, 5): {'bw': -178}, (3, 0): {'bw': -173}, (3, 2): {'bw': -100}, (4, 2): {'bw': -328}, (4, 5): {'bw': -219}, (1, 3): {'bw': -45}}, 'path_level': {(5, 2): {}, (0, 2): {}, (0, 5): {}, (3, 0): {}, (3, 2): {}, (4, 2): {}, (4, 5): {}, (1, 3): {}}}","{'node_level': {2: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(5, 2): {'bw': 0}, (0, 2): {'bw': 0}, (0, 5): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 0}, (4, 2): {'bw': 0}, (4, 5): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(5, 2): {}, (0, 2): {}, (0, 5): {}, (3, 0): {}, (3, 2): {}, (4, 2): {}, (4, 5): {}, (1, 3): {}}}",[],-25.0,0.0,True,True,False,0,[],0,0.0,0.0,6.0,8.0,0
5,5,4,2140.0,2725.0,343784.46475846774,431932.9510013712,0.7853211009174312,0.7959209038380968,16,5,1,102.0,14677,2063,12614,0.2053158705701078,0.12250434782608699,4,276.4191884368743,102.0,6,7,True,"{1: 5, 4: 2, 0: 3, 2: 6, 5: 7, 3: 13}","{(4, 1): [(2, 5)], (0, 1): [(3, 5)], (0, 4): [(3, 5), (5, 2)], (2, 1): [(6, 5)], (2, 4): [(6, 5), (5, 2)], (5, 1): [(7, 5)], (3, 0): [(13, 3)]}","{(1, 5): {'cpu': 24}, (4, 2): {'cpu': 21}, (0, 3): {'cpu': 20}, (2, 6): {'cpu': 15}, (5, 7): {'cpu': 29}, (3, 13): {'cpu': 38}}","{((4, 1), (2, 5)): {'bw': 55}, ((0, 1), (3, 5)): {'bw': 30}, ((0, 4), (3, 5)): {'bw': 29}, ((0, 4), (5, 2)): {'bw': 29}, ((2, 1), (6, 5)): {'bw': 47}, ((2, 4), (6, 5)): {'bw': 52}, ((2, 4), (5, 2)): {'bw': 52}, ((5, 1), (7, 5)): {'bw': 31}, ((3, 0), (13, 3)): {'bw': 30}}",502.0,421.0,294.0,147.0,274.0,147.0,274.0,147.0,355.0,81.0,0.8386454183266933,138762.4325953109,116372.4783319241,231.81768592016752,Success,0.0,"{'node_level': {'cpu': -2}, 'link_level': {'bw': -273}, 'path_level': {}}","{'node_level': {1: {'cpu': -65}, 4: {'cpu': -5}, 0: {'cpu': -14}, 2: {'cpu': -44}, 5: {'cpu': -40}, 3: {'cpu': -2}}, 'link_level': {(4, 1): {'bw': -98}, (0, 1): {'bw': -145}, (0, 4): {'bw': -69}, (2, 1): {'bw': -187}, (2, 4): {'bw': -17}, (5, 1): {'bw': -297}, (3, 0): {'bw': -273}}, 'path_level': {(4, 1): {}, (0, 1): {}, (0, 4): {}, (2, 1): {}, (2, 4): {}, (5, 1): {}, (3, 0): {}}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(4, 1): {'bw': 0}, (0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (2, 1): {'bw': 0}, (2, 4): {'bw': 0}, (5, 1): {'bw': 0}, (3, 0): {'bw': 0}}, 'path_level': {(4, 1): {}, (0, 1): {}, (0, 4): {}, (2, 1): {}, (2, 4): {}, (5, 1): {}, (3, 0): {}}}",[],-2.0,0.0,True,True,False,0,[],0,0.0,0.0,6.0,7.0,0
6,6,5,2422.0,3054.0,409867.84827410744,509030.23176961753,0.7930582842174198,0.8051935281903059,18,6,1,124.0,14348,1946,12402,0.25038520801232667,0.13725217391304345,5,234.3382394171621,124.0,4,3,True,"{3: 23, 1: 20, 2: 21, 0: 26}","{(1, 3): [(20, 23)], (2, 3): [(21, 23)], (0, 1): [(26, 23), (23, 20)]}","{(3, 23): {'cpu': 40}, (1, 20): {'cpu': 29}, (2, 21): {'cpu': 32}, (0, 26): {'cpu': 16}}","{((1, 3), (20, 23)): {'bw': 77}, ((2, 3), (21, 23)): {'bw': 41}, ((0, 1), (26, 23)): {'bw': 47}, ((0, 1), (23, 20)): {'bw': 47}}",329.0,282.0,234.0,117.0,165.0,117.0,165.0,117.0,212.0,47.0,0.8571428571428571,77097.28076824633,66083.38351563971,200.86134807185323,Success,0.0,"{'node_level': {'cpu': -42}, 'link_level': {'bw': -48}, 'path_level': {}}","{'node_level': {3: {'cpu': -20}, 1: {'cpu': -42}, 2: {'cpu': -42}, 0: {'cpu': -42}}, 'link_level': {(1, 3): {'bw': -95}, (2, 3): {'bw': -328}, (0, 1): {'bw': -48}}, 'path_level': {(1, 3): {}, (2, 3): {}, (0, 1): {}}}","{'node_level': {3: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(1, 3): {'bw': 0}, (2, 3): {'bw': 0}, (0, 1): {'bw': 0}}, 'path_level': {(1, 3): {}, (2, 3): {}, (0, 1): {}}}",[],-42.0,0.0,True,True,False,0,[],0,0.0,0.0,4.0,3.0,0
6,6,4,2422.0,3054.0,409867.84827410744,509030.23176961753,0.7930582842174198,0.8051935281903059,18,7,0,137.96176129242878,14978,2107,12871,0.18836671802773497,0.10462608695652176,0,119.96176129242878,18.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,0
7,7,5,3142.0,4077.0,634086.4008639017,827607.4252409502,0.7706647044395388,0.7661680907216285,20,8,1,149.0,13955,1966,11989,0.24268104776579358,0.16598260869565218,6,311.4146563747142,149.0,6,10,True,"{2: 12, 3: 0, 5: 1, 1: 14, 0: 15, 4: 4}","{(3, 2): [(0, 12)], (5, 2): [(1, 12)], (5, 3): [(1, 4), (4, 0)], (1, 2): [(14, 12)], (1, 3): [(14, 12), (12, 0)], (0, 2): [(15, 12)], (0, 3): [(15, 12), (12, 0)], (0, 5): [(15, 12), (12, 1)], (4, 2): [(4, 1), (1, 12)], (4, 3): [(4, 0)]}","{(2, 12): {'cpu': 22}, (3, 0): {'cpu': 19}, (5, 1): {'cpu': 21}, (1, 14): {'cpu': 39}, (0, 15): {'cpu': 11}, (4, 4): {'cpu': 29}}","{((3, 2), (0, 12)): {'bw': 72}, ((5, 2), (1, 12)): {'bw': 78}, ((5, 3), (1, 4)): {'bw': 61}, ((5, 3), (4, 0)): {'bw': 61}, ((1, 2), (14, 12)): {'bw': 43}, ((1, 3), (14, 12)): {'bw': 60}, ((1, 3), (12, 0)): {'bw': 60}, ((0, 2), (15, 12)): {'bw': 55}, ((0, 3), (15, 12)): {'bw': 61}, ((0, 3), (12, 0)): {'bw': 61}, ((0, 5), (15, 12)): {'bw': 78}, ((0, 5), (12, 1)): {'bw': 78}, ((4, 2), (4, 1)): {'bw': 43}, ((4, 2), (1, 12)): {'bw': 43}, ((4, 3), (4, 0)): {'bw': 28}}",1023.0,720.0,282.0,141.0,579.0,141.0,579.0,141.0,882.0,303.0,0.7038123167155426,318577.1934713326,224218.5525897942,219.1774707622622,Success,0.0,"{'node_level': {'cpu': -12}, 'link_level': {'bw': -168}, 'path_level': {}}","{'node_level': {2: {'cpu': -34}, 3: {'cpu': -47}, 5: {'cpu': -51}, 1: {'cpu': -35}, 0: {'cpu': -51}, 4: {'cpu': -12}}, 'link_level': {(3, 2): {'bw': -157}, (5, 2): {'bw': -289}, (5, 3): {'bw': -213}, (1, 2): {'bw': -195}, (1, 3): {'bw': -97}, (0, 2): {'bw': -162}, (0, 3): {'bw': -36}, (0, 5): {'bw': -23}, (4, 2): {'bw': -168}, (4, 3): {'bw': -185}}, 'path_level': {(3, 2): {}, (5, 2): {}, (5, 3): {}, (1, 2): {}, (1, 3): {}, (0, 2): {}, (0, 3): {}, (0, 5): {}, (4, 2): {}, (4, 3): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(3, 2): {'bw': 0}, (5, 2): {'bw': 0}, (5, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (4, 2): {'bw': 0}, (4, 3): {'bw': 0}}, 'path_level': {(3, 2): {}, (5, 2): {}, (5, 3): {}, (1, 2): {}, (1, 3): {}, (0, 2): {}, (0, 3): {}, (0, 5): {}, (4, 2): {}, (4, 3): {}}}",[],-12.0,0.0,True,True,False,0,[],0,0.0,0.0,6.0,10.0,0
8,8,6,3516.0,4597.0,694901.7956810045,912163.5891577776,0.7648466391124646,0.7618170731004774,20,9,1,167.0,13435,1841,11594,0.29083204930662554,0.19346086956521735,7,162.60800753236046,167.0,5,6,True,"{1: 20, 2: 0, 0: 1, 4: 22, 3: 23}","{(2, 1): [(0, 20)], (0, 1): [(1, 20)], (0, 2): [(1, 4), (4, 0)], (4, 0): [(22, 20), (20, 1)], (4, 1): [(22, 20)], (3, 2): [(23, 20), (20, 0)]}","{(1, 20): {'cpu': 38}, (2, 0): {'cpu': 25}, (0, 1): {'cpu': 23}, (4, 22): {'cpu': 14}, (3, 23): {'cpu': 25}}","{((2, 1), (0, 20)): {'bw': 62}, ((0, 1), (1, 20)): {'bw': 21}, ((0, 2), (1, 4)): {'bw': 50}, ((0, 2), (4, 0)): {'bw': 50}, ((4, 0), (22, 20)): {'bw': 57}, ((4, 0), (20, 1)): {'bw': 57}, ((4, 1), (22, 20)): {'bw': 20}, ((3, 2), (23, 20)): {'bw': 39}, ((3, 2), (20, 0)): {'bw': 39}}",520.0,374.0,250.0,125.0,249.0,125.0,249.0,125.0,395.0,146.0,0.7192307692307692,84556.16391682744,60815.39481710281,116.95268234058233,Success,0.0,"{'node_level': {'cpu': -22}, 'link_level': {'bw': -38}, 'path_level': {}}","{'node_level': {1: {'cpu': -29}, 2: {'cpu': -22}, 0: {'cpu': -28}, 4: {'cpu': -53}, 3: {'cpu': -22}}, 'link_level': {(2, 1): {'bw': -285}, (0, 1): {'bw': -211}, (0, 2): {'bw': -135}, (4, 0): {'bw': -154}, (4, 1): {'bw': -243}, (3, 2): {'bw': -38}}, 'path_level': {(2, 1): {}, (0, 1): {}, (0, 2): {}, (4, 0): {}, (4, 1): {}, (3, 2): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(2, 1): {'bw': 0}, (0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (4, 0): {'bw': 0}, (4, 1): {'bw': 0}, (3, 2): {'bw': 0}}, 'path_level': {(2, 1): {}, (0, 1): {}, (0, 2): {}, (4, 0): {}, (4, 1): {}, (3, 2): {}}}",[],-22.0,0.0,True,True,False,0,[],0,0.0,0.0,5.0,6.0,0
