vnr_uid,best_algorithm,v_net_id,seed,result,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,event_time,v_net_arrival_time,inservice_count,num_algorithms_tested,algorithms_tested
122_0_3007.0,mcts,122,0,False,10,22,105.2666429289596,140.0,70.0,597.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,3007.0,3007.0,1,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_0_3041.0,mcts,122,0,False,13,40,504.2799316403209,672.0,336.0,2280.0,10495.0,1133,9362.0,0.0,0.0,3041.0,3041.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_1_1512.0,mcts,122,1,False,7,12,598.7589219859557,178.0,89.0,460.0,9881.0,1235,8646.0,0.0,0.0,1512.0,1512.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_1_3052.0,mip,122,1,False,3,3,34.69221518550247,32.0,16.0,93.0,5188.0,764,4424.0,0.0,0.0,3052.0,3052.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_1_3114.0,mcts,122,1,False,15,51,268.2302665111982,680.0,340.0,2744.0,9881.0,1235,8646.0,0.0,0.0,3114.0,3114.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_2_1535.0,ga_meta,122,2,False,5,5,68.9676144647665,202.0,101.0,187.0,10585.0,1285,9300.0,0.0,0.0,1535.0,1535.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_2_2973.0,rw_rank_bfs,122,2,False,6,7,7.585314259313696,80.0,40.0,193.0,15666.0,1286,14380.0,0.0,0.0,2973.0,2973.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_2_2982.0,mcts,122,2,False,11,30,3936.575926463234,530.0,265.0,1833.0,10585.0,1285,9300.0,0.0,0.0,2982.0,2982.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_3_1529.0,mcts,122,3,False,11,29,847.141955776507,402.0,201.0,1170.0,10503.0,1172,9331.0,0.0,0.0,1529.0,1529.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_3_3126.0,mcts,122,3,False,20,86,156.99300072609535,814.0,407.0,5091.0,10503.0,1172,9331.0,0.0,0.0,3126.0,3126.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_3_3129.0,mip,122,3,False,3,2,561.6727257019453,90.0,45.0,92.0,15828.0,1173,14655.0,0.0,0.0,3129.0,3129.0,0,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_4_1526.0,mcts,122,4,False,13,34,1001.5902043340528,502.0,251.0,1418.0,10885.0,1170,9715.0,0.0,0.0,1526.0,1526.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_4_3014.0,mcts,122,4,False,19,94,180.51731488034352,962.0,481.0,5592.0,10885.0,1170,9715.0,0.0,0.0,3014.0,3014.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
122_4_3086.0,rw_rank_bfs,122,4,False,6,12,60.15637674671887,98.0,49.0,320.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,3086.0,3086.0,1,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_0_1513.0,mcts,123,0,False,8,16,554.2048836871099,276.0,138.0,594.0,10495.0,1133,9362.0,0.0,0.0,1513.0,1513.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_0_2056.0,mip,123,0,False,20,103,1279.7755676118704,1488.0,744.0,9329.0,10495.0,1133,9362.0,0.0,0.0,2056.0,2056.0,0,2,mip
123_0_3023.0,mcts,123,0,False,10,25,358.0226592019341,136.0,68.0,667.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,3023.0,3023.0,1,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_0_3068.0,mcts,123,0,False,17,72,833.3782502326796,956.0,478.0,3864.0,10495.0,1133,9362.0,0.0,0.0,3068.0,3068.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_1_1521.0,mcts,123,1,False,8,13,999.315921234438,204.0,102.0,507.0,9881.0,1235,8646.0,0.0,0.0,1521.0,1521.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_1_3073.0,ga_meta,123,1,False,7,11,835.049353068204,102.0,51.0,290.0,5188.0,764,4424.0,0.0,0.0,3073.0,3073.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_1_3127.0,mcts,123,1,False,15,57,1687.9404422009045,838.0,419.0,3366.0,9881.0,1235,8646.0,0.0,0.0,3127.0,3127.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_2_1550.0,mcts,123,2,False,12,32,365.4505165497218,466.0,233.0,1402.0,10585.0,1285,9300.0,0.0,0.0,1550.0,1550.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_2_2996.0,mcts,123,2,False,14,45,282.6992924350493,666.0,333.0,2561.0,10585.0,1285,9300.0,0.0,0.0,2996.0,2996.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_2_2998.0,mcts,123,2,False,8,15,1117.023616872072,186.0,93.0,442.0,15666.0,1286,14380.0,0.0,0.0,2998.0,2998.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_3_1549.0,mcts,123,3,False,12,29,866.4629801072962,498.0,249.0,1198.0,10503.0,1172,9331.0,0.0,0.0,1549.0,1549.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_3_3153.0,ga_meta,123,3,False,2,1,782.3617907767425,46.0,23.0,43.0,15828.0,1173,14655.0,0.0,0.0,3153.0,3153.0,0,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_3_3154.0,mcts,123,3,False,12,36,1210.7293428503297,620.0,310.0,2157.0,10503.0,1172,9331.0,0.0,0.0,3154.0,3154.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_4_1534.0,mcts,123,4,False,6,8,655.0655711361453,136.0,68.0,307.0,10885.0,1170,9715.0,0.0,0.0,1534.0,1534.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
123_4_3044.0,mcts,123,4,False,14,47,343.6738985757835,590.0,295.0,2898.0,10885.0,1170,9715.0,0.0,0.0,3044.0,3044.0,0,7,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
