vnr_uid,best_algorithm,v_net_id,seed,event_time,result,v_net_num_nodes,v_net_num_egdes,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_lifetime,v_net_arrival_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_algorithms_tested
134_2_3283,ga_meta,134,2,3283.0,False,5,6,114.0,57.0,132.0,1168.051034257492,3283.0,15666.0,1286,14380.0,0.0,0.0,0,8
134_3_3428,rw_rank_bfs,134,3,3428.0,False,9,18,150.0,75.0,462.0,587.1482727199309,3428.0,15828.0,1173,14655.0,0.0,0.0,0,8
134_4_3391,rw_rank_bfs,134,4,3391.0,False,5,8,126.0,63.0,234.0,218.36340101730417,3391.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
135_0_3308,rw_rank_bfs,135,0,3308.0,False,5,8,96.0,48.0,267.0,71.06275669071039,3308.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
135_1_3372,sa_meta,135,1,3372.0,False,8,13,214.0,107.0,285.0,1171.0751111350844,3372.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
135_2_3303,mcts,135,2,3303.0,False,6,11,64.0,32.0,229.0,169.5826104764788,3303.0,15666.0,1286,14380.0,0.0,0.0,0,8
135_3_3458,pl_rank,135,3,3458.0,False,2,1,32.0,16.0,40.0,46.8779394453398,3458.0,15828.0,1173,14655.0,0.0,0.0,0,8
135_4_3421,pl_rank,135,4,3421.0,False,2,1,52.0,26.0,13.0,378.4982923965151,3421.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
136_0_3323,pl_rank,136,0,3323.0,False,2,1,60.0,30.0,46.0,27.45368854978536,3323.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
136_1_3398,rw_rank_bfs,136,1,3398.0,False,10,26,250.0,125.0,604.0,322.3239889944868,3398.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
136_2_3321,rw_rank_bfs,136,2,3321.0,False,10,20,216.0,108.0,325.0,1707.3409174991905,3321.0,15666.0,1286,14380.0,0.0,0.0,0,8
136_3_3477,rw_rank_bfs,136,3,3477.0,False,9,19,234.0,117.0,541.0,282.75119403581584,3477.0,15828.0,1173,14655.0,0.0,0.0,0,8
136_4_3451,ga_meta,136,4,3451.0,False,5,4,100.0,50.0,134.0,0.6783925072354021,3451.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
137_0_3354,pl_rank,137,0,3354.0,False,6,8,78.0,39.0,188.0,646.5739223750678,3354.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
137_1_3422,rw_rank_bfs,137,1,3422.0,False,10,25,244.0,122.0,565.0,938.731509300069,3422.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
137_2_3346,ga_meta,137,2,3346.0,False,8,15,184.0,92.0,445.0,551.4597792631687,3346.0,15666.0,1286,14380.0,0.0,0.0,0,8
137_3_3502,rw_rank_bfs,137,3,3502.0,False,10,18,206.0,103.0,433.0,53.86734405724127,3502.0,15828.0,1173,14655.0,0.0,0.0,0,8
137_4_3476,ga_meta,137,4,3476.0,False,8,11,130.0,65.0,329.0,387.6649636533973,3476.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
138_0_3380,mip,138,0,3380.0,False,5,7,122.0,61.0,161.0,5.7466268790237285,3380.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
138_1_3458,mcts,138,1,3458.0,False,4,4,88.0,44.0,88.0,912.490854731586,3458.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
138_2_3362,ga_meta,138,2,3362.0,False,5,7,116.0,58.0,152.0,349.5894409100426,3362.0,15666.0,1286,14380.0,0.0,0.0,0,8
138_3_3528,pl_rank,138,3,3528.0,False,3,2,58.0,29.0,74.0,74.13974538383783,3528.0,15828.0,1173,14655.0,0.0,0.0,0,8
138_4_3494,pl_rank,138,4,3494.0,False,2,1,46.0,23.0,15.0,221.76488589799175,3494.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
139_0_3404,rw_rank_bfs,139,0,3404.0,False,8,17,188.0,94.0,453.0,736.1020783608142,3404.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
139_1_3476,rw_rank_bfs,139,1,3476.0,False,9,23,236.0,118.0,519.0,74.99304460827679,3476.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
139_2_3395,rw_rank_bfs,139,2,3395.0,False,10,18,202.0,101.0,417.0,237.4095293378929,3395.0,15666.0,1286,14380.0,0.0,0.0,0,8
