v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0,0,0,0,0,0,0,0,1,19.0,10885,1170,9715,0.0,0.0,0,824.323554933573,19.0,18,86,False,{},{},{},{},0,0,912.0,456.0,5011,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,905.6929001808167,0,0
2,0,0,0,0,0,0,0,0,0,1,1,37.0,10885,1170,9715,0.0,0.0,1,10.481414534191464,37.0,15,45,False,{},{},{},{},0,0,754.0,377.0,2696,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.137665033340454,0,0
2,0,0,0,0,0,0,0,0,0,2,0,47.481414534191465,10885,1170,9715,0.0,0.0,1,10.481414534191464,37.0,15,45,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
3,0,0,0,0,0,0,0,0,0,3,1,66.0,10885,1170,9715,0.0,0.0,2,261.23088075696336,66.0,13,35,False,{},{},{},{},0,0,564.0,282.0,1946,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.68797516822815,0,0
4,0,0,0,0,0,0,0,0,0,4,1,91.0,10885,1170,9715,0.0,0.0,3,37.558119509631545,91.0,9,15,False,{},{},{},{},0,0,496.0,248.0,979,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,6.501841068267822,0,0
5,0,0,0,0,0,0,0,0,0,5,1,115.0,10885,1170,9715,0.0,0.0,4,88.1564852302614,115.0,16,51,False,{},{},{},{},0,0,834.0,417.0,2844,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.236841917037964,0,0
5,0,0,0,0,0,0,0,0,0,6,0,128.55811950963155,10885,1170,9715,0.0,0.0,3,37.558119509631545,91.0,9,15,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
6,0,0,0,0,0,0,0,0,0,7,1,144.0,10885,1170,9715,0.0,0.0,5,1085.6045608657068,144.0,15,58,False,{},{},{},{},0,0,686.0,343.0,3252,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,264.4205710887909,0,0
7,0,0,0,0,0,0,0,0,0,8,1,173.0,10885,1170,9715,0.0,0.0,6,875.9733501963208,173.0,16,59,False,{},{},{},{},0,0,798.0,399.0,3781,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.491889953613281,0,0
8,0,0,0,0,0,0,0,0,0,9,1,201.0,10885,1170,9715,0.0,0.0,7,1297.7818492733904,201.0,10,29,False,{},{},{},{},0,0,482.0,241.0,1721,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.515326976776123,0,0
8,0,0,0,0,0,0,0,0,0,10,0,203.1564852302614,10885,1170,9715,0.0,0.0,4,88.1564852302614,115.0,16,51,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
9,0,0,0,0,0,0,0,0,0,11,1,230.0,10885,1170,9715,0.0,0.0,8,2347.3379643680114,230.0,17,63,False,{},{},{},{},0,0,782.0,391.0,3953,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,4.04515814781189,0,0
10,0,0,0,0,0,0,0,0,0,12,1,253.0,10885,1170,9715,0.0,0.0,9,16.85897874469926,253.0,18,79,False,{},{},{},{},0,0,902.0,451.0,4900,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.962143182754517,0,0
11,0,0,0,0,0,0,0,0,0,13,1,268.0,10885,1170,9715,0.0,0.0,10,2270.0390703794865,268.0,20,86,False,{},{},{},{},0,0,998.0,499.0,5319,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,257.98531889915466,0,0
11,0,0,0,0,0,0,0,0,0,14,0,269.85897874469924,10885,1170,9715,0.0,0.0,9,16.85897874469926,253.0,18,79,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
12,0,0,0,0,0,0,0,0,0,15,1,289.0,10885,1170,9715,0.0,0.0,11,700.979746630872,289.0,15,57,False,{},{},{},{},0,0,746.0,373.0,3347,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.588987112045288,0,0
13,0,0,0,0,0,0,0,0,0,16,1,314.0,10885,1170,9715,0.0,0.0,12,954.0430851353897,314.0,15,53,False,{},{},{},{},0,0,794.0,397.0,3302,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.233393907546997,0,0
13,0,0,0,0,0,0,0,0,0,17,0,327.23088075696336,10885,1170,9715,0.0,0.0,2,261.23088075696336,66.0,13,35,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
14,0,0,0,0,0,0,0,0,0,18,1,336.0,10885,1170,9715,0.0,0.0,13,144.73176858960804,336.0,15,42,False,{},{},{},{},0,0,716.0,358.0,2660,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.959104061126709,0,0
15,0,0,0,0,0,0,0,0,0,19,1,363.0,10885,1170,9715,0.0,0.0,14,638.5985191652629,363.0,17,65,False,{},{},{},{},0,0,796.0,398.0,3860,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.9887962341308594,0,0
16,0,0,0,0,0,0,0,0,0,20,1,389.0,10885,1170,9715,0.0,0.0,15,1006.6791369175716,389.0,16,67,False,{},{},{},{},0,0,748.0,374.0,4118,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.560972213745117,0,0
17,0,0,0,0,0,0,0,0,0,21,1,414.0,10885,1170,9715,0.0,0.0,16,676.8558784628661,414.0,12,34,False,{},{},{},{},0,0,704.0,352.0,1979,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.844559192657471,0,0
18,0,0,0,0,0,0,0,0,0,22,1,440.0,10885,1170,9715,0.0,0.0,17,2679.670727492154,440.0,10,21,False,{},{},{},{},0,0,512.0,256.0,1571,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,242.62755703926086,0,0
19,0,0,0,0,0,0,0,0,0,23,1,464.0,10885,1170,9715,0.0,0.0,18,2747.2147540516594,464.0,20,88,False,{},{},{},{},0,0,1094.0,547.0,5288,0,0,0.0,0.0,0,0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.893002033233643,0,0
19,0,0,0,0,0,0,0,0,0,24,0,480.731768589608,10885,1170,9715,0.0,0.0,13,144.73176858960804,336.0,15,42,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0
