v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,15.0,2294,1145,1149,0.0,0.0,0,751.6116744769311,15.0,10,19,False,"{4: 2, 1: 0, 2: 5, 6: 1, 3: 10}","{(1, 4): [(0, 2)], (2, 4): [(5, 2)], (6, 1): [(1, 0)], (6, 2): [(1, 0), (0, 2), (2, 5)], (6, 4): [(1, 0), (0, 2)], (3, 4): [(10, 6), (6, 2)]}","{(4, 2): {'cpu': 13}, (1, 0): {'cpu': 20}, (2, 5): {'cpu': 6}, (6, 1): {'cpu': 12}, (3, 10): {'cpu': 2}}","{((1, 4), (0, 2)): {'bw': 10}, ((2, 4), (5, 2)): {'bw': 47}, ((6, 1), (1, 0)): {'bw': 31}, ((6, 2), (1, 0)): {'bw': 33}, ((6, 2), (0, 2)): {'bw': 33}, ((6, 2), (2, 5)): {'bw': 33}, ((6, 4), (1, 0)): {'bw': 33}, ((6, 4), (0, 2)): {'bw': 33}, ((3, 4), (10, 6)): {'bw': 21}, ((3, 4), (6, 2)): {'bw': 21}}",0.0,0.0,140.0,70.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1000.0,"{'node_level': {'cpu': -80}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {4: {'cpu': -82}, 1: {'cpu': -70}, 2: {'cpu': -87}, 6: {'cpu': -53}, 3: {'cpu': -82}, 5: {'cpu': -80}}, 'link_level': {(1, 4): {'bw': -71}, (2, 4): {'bw': -40}, (6, 1): {'bw': -66}, (6, 2): {'bw': -7}, (6, 4): {'bw': 0}, (3, 4): {'bw': -67}, (5, 1): {'bw': 100.0}}, 'path_level': {(1, 4): {}, (2, 4): {}, (6, 1): {}, (6, 2): {}, (6, 4): {}, (3, 4): {}, (5, 1): {}}}","{'node_level': {4: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (6, 1): {'bw': 0}, (6, 2): {'bw': 0}, (6, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 1): {'bw': 100.0}}, 'path_level': {(1, 4): {}, (2, 4): {}, (6, 1): {}, (6, 2): {}, (6, 4): {}, (3, 4): {}, (5, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,10.0,5.0,6.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,43.0,2294,1145,1149,0.0,0.0,1,750.5227476258572,43.0,10,17,False,"{4: 2, 2: 0, 6: 5}","{(2, 4): [(0, 2)], (6, 2): [(5, 2), (2, 0)], (6, 4): [(5, 2)]}","{(4, 2): {'cpu': 20}, (2, 0): {'cpu': 14}, (6, 5): {'cpu': 8}}","{((2, 4), (0, 2)): {'bw': 11}, ((6, 2), (5, 2)): {'bw': 37}, ((6, 2), (2, 0)): {'bw': 37}, ((6, 4), (5, 2)): {'bw': 44}}",0.0,0.0,244.0,122.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1200.0,"{'node_level': {'cpu': -70}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {4: {'cpu': -75}, 2: {'cpu': -76}, 6: {'cpu': -85}, 0: {'cpu': -70}}, 'link_level': {(2, 4): {'bw': -70}, (6, 2): {'bw': -33}, (6, 4): {'bw': -6}, (0, 4): {'bw': -1}, (0, 6): {'bw': 100.0}}, 'path_level': {(2, 4): {}, (6, 2): {}, (6, 4): {}, (0, 4): {}, (0, 6): {}}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(2, 4): {'bw': 0}, (6, 2): {'bw': 0}, (6, 4): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 100.0}}, 'path_level': {(2, 4): {}, (6, 2): {}, (6, 4): {}, (0, 4): {}, (0, 6): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,12.0,3.0,3.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,65.0,2294,1145,1149,0.0,0.0,2,349.3600929825318,65.0,8,17,False,"{1: 2, 0: 0, 7: 1, 5: 9, 6: 13}","{(0, 1): [(0, 2)], (7, 0): [(1, 0)], (7, 1): [(1, 0), (0, 2)], (5, 1): [(9, 5), (5, 2)], (6, 0): [(13, 5), (5, 2), (2, 0)], (6, 1): [(13, 5), (5, 2)], (6, 5): [(13, 5), (5, 9)], (6, 7): [(13, 5), (5, 2), (2, 0), (0, 1)]}","{(1, 2): {'cpu': 20}, (0, 0): {'cpu': 20}, (7, 1): {'cpu': 15}, (5, 9): {'cpu': 15}, (6, 13): {'cpu': 6}}","{((0, 1), (0, 2)): {'bw': 50}, ((7, 0), (1, 0)): {'bw': 46}, ((7, 1), (1, 0)): {'bw': 17}, ((7, 1), (0, 2)): {'bw': 17}, ((5, 1), (9, 5)): {'bw': 38}, ((5, 1), (5, 2)): {'bw': 38}, ((6, 0), (13, 5)): {'bw': 6}, ((6, 0), (5, 2)): {'bw': 6}, ((6, 0), (2, 0)): {'bw': 6}, ((6, 1), (13, 5)): {'bw': 35}, ((6, 1), (5, 2)): {'bw': 35}, ((6, 5), (13, 5)): {'bw': 13}, ((6, 5), (5, 9)): {'bw': 13}, ((6, 7), (13, 5)): {'bw': 8}, ((6, 7), (5, 2)): {'bw': 8}, ((6, 7), (2, 0)): {'bw': 8}, ((6, 7), (0, 1)): {'bw': 8}}",0.0,0.0,184.0,92.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1000.0,"{'node_level': {'cpu': -80}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -75}, 0: {'cpu': -70}, 7: {'cpu': -50}, 5: {'cpu': -42}, 6: {'cpu': -55}, 3: {'cpu': -80}}, 'link_level': {(0, 1): {'bw': -31}, (7, 0): {'bw': -51}, (7, 1): {'bw': -14}, (5, 1): {'bw': -49}, (6, 0): {'bw': -8}, (6, 1): {'bw': -8}, (6, 5): {'bw': -35}, (6, 7): {'bw': 0}, (3, 0): {'bw': -11}, (3, 1): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (7, 0): {}, (7, 1): {}, (5, 1): {}, (6, 0): {}, (6, 1): {}, (6, 5): {}, (6, 7): {}, (3, 0): {}, (3, 1): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (7, 0): {'bw': 0}, (7, 1): {'bw': 0}, (5, 1): {'bw': 0}, (6, 0): {'bw': 0}, (6, 1): {'bw': 0}, (6, 5): {'bw': 0}, (6, 7): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (7, 0): {}, (7, 1): {}, (5, 1): {}, (6, 0): {}, (6, 1): {}, (6, 5): {}, (6, 7): {}, (3, 0): {}, (3, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,10.0,5.0,8.0
4,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,3,1,82.0,2231,1110,1121,0.03056768558951961,0.024369016536118338,3,1570.3512005386167,82.0,4,4,True,"{1: 2, 0: 0, 3: 5, 2: 6}","{(0, 1): [(0, 2)], (3, 1): [(5, 2)], (2, 0): [(6, 2), (2, 0)], (2, 3): [(6, 2), (2, 5)]}","{(1, 2): {'cpu': 18}, (0, 0): {'cpu': 14}, (3, 5): {'cpu': 1}, (2, 6): {'cpu': 2}}","{((0, 1), (0, 2)): {'bw': 2}, ((3, 1), (5, 2)): {'bw': 20}, ((2, 0), (6, 2)): {'bw': 3}, ((2, 0), (2, 0)): {'bw': 3}, ((2, 3), (6, 2)): {'bw': 0}, ((2, 3), (2, 5)): {'bw': 0}}",63.0,60.0,70.0,35.0,25.0,35.0,25.0,35.0,28.0,3.0,0.9523809523809523,98932.12563393285,94221.072032317,1495.5725719415395,Success,0.0,"{'node_level': {'cpu': -66}, 'link_level': {'bw': -67}, 'path_level': {}}","{'node_level': {1: {'cpu': -77}, 0: {'cpu': -76}, 3: {'cpu': -92}, 2: {'cpu': -66}}, 'link_level': {(0, 1): {'bw': -79}, (3, 1): {'bw': -67}, (2, 0): {'bw': -76}, (2, 3): {'bw': -67}}, 'path_level': {(0, 1): {}, (3, 1): {}, (2, 0): {}, (2, 3): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (3, 1): {'bw': 0}, (2, 0): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (3, 1): {}, (2, 0): {}, (2, 3): {}}}",[],-66.0,0.0,True,True,False,0,[],0,0.0,0.0,4.0,4.0
5,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,4,1,110.0,2231,1110,1121,0.03056768558951961,0.024369016536118338,4,201.63903511487771,110.0,10,23,False,"{1: 2, 5: 0, 2: 5}","{(5, 1): [(0, 2)], (2, 1): [(5, 2)], (2, 5): [(5, 2), (2, 0)]}","{(1, 2): {'cpu': 20}, (5, 0): {'cpu': 17}, (2, 5): {'cpu': 10}}","{((5, 1), (0, 2)): {'bw': 32}, ((2, 1), (5, 2)): {'bw': 28}, ((2, 5), (5, 2)): {'bw': 27}, ((2, 5), (2, 0)): {'bw': 27}}",0.0,0.0,196.0,98.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1200.0,"{'node_level': {'cpu': -72}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -57}, 5: {'cpu': -59}, 2: {'cpu': -82}, 8: {'cpu': -72}}, 'link_level': {(5, 1): {'bw': -44}, (2, 1): {'bw': -39}, (2, 5): {'bw': -12}, (8, 1): {'bw': 100.0}, (8, 5): {'bw': 100.0}}, 'path_level': {(5, 1): {}, (2, 1): {}, (2, 5): {}, (8, 1): {}, (8, 5): {}}}","{'node_level': {1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(5, 1): {'bw': 0}, (2, 1): {'bw': 0}, (2, 5): {'bw': 0}, (8, 1): {'bw': 100.0}, (8, 5): {'bw': 100.0}}, 'path_level': {(5, 1): {}, (2, 1): {}, (2, 5): {}, (8, 1): {}, (8, 5): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,12.0,3.0,3.0
6,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,5,1,131.0,2231,1110,1121,0.03056768558951961,0.024369016536118338,5,328.3672823909719,131.0,9,21,False,"{1: 2, 3: 0, 7: 5, 2: 6}","{(3, 1): [(0, 2)], (7, 1): [(5, 2)], (2, 1): [(6, 2)], (2, 3): [(6, 2), (2, 0)], (2, 7): [(6, 2), (2, 5)]}","{(1, 2): {'cpu': 20}, (3, 0): {'cpu': 12}, (7, 5): {'cpu': 11}, (2, 6): {'cpu': 11}}","{((3, 1), (0, 2)): {'bw': 41}, ((7, 1), (5, 2)): {'bw': 35}, ((2, 1), (6, 2)): {'bw': 30}, ((2, 3), (6, 2)): {'bw': 23}, ((2, 3), (2, 0)): {'bw': 23}, ((2, 7), (6, 2)): {'bw': 4}, ((2, 7), (2, 5)): {'bw': 4}}",0.0,0.0,220.0,110.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1100.0,"{'node_level': {'cpu': -62}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -57}, 3: {'cpu': -64}, 7: {'cpu': -81}, 2: {'cpu': -55}, 6: {'cpu': -62}}, 'link_level': {(3, 1): {'bw': -35}, (7, 1): {'bw': -32}, (2, 1): {'bw': -56}, (2, 3): {'bw': -12}, (2, 7): {'bw': -28}, (6, 1): {'bw': 100.0}, (6, 3): {'bw': 100.0}}, 'path_level': {(3, 1): {}, (7, 1): {}, (2, 1): {}, (2, 3): {}, (2, 7): {}, (6, 1): {}, (6, 3): {}}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 7: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(3, 1): {'bw': 0}, (7, 1): {'bw': 0}, (2, 1): {'bw': 0}, (2, 3): {'bw': 0}, (2, 7): {'bw': 0}, (6, 1): {'bw': 100.0}, (6, 3): {'bw': 100.0}}, 'path_level': {(3, 1): {}, (7, 1): {}, (2, 1): {}, (2, 3): {}, (2, 7): {}, (6, 1): {}, (6, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,11.0,4.0,5.0
7,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,6,1,153.0,2231,1110,1121,0.03056768558951961,0.024369016536118338,6,689.905709121674,153.0,4,5,False,"{2: 2, 1: 0, 0: 6, 3: 9}","{(1, 2): [(0, 2)], (0, 1): [(6, 2), (2, 0)], (0, 2): [(6, 2)], (3, 0): [(9, 5), (5, 2), (2, 6)], (3, 2): [(9, 5), (5, 2)]}","{(2, 2): {'cpu': 15}, (1, 0): {'cpu': 11}, (0, 6): {'cpu': 6}, (3, 9): {'cpu': 16}}","{((1, 2), (0, 2)): {'bw': 33}, ((0, 1), (6, 2)): {'bw': 30}, ((0, 1), (2, 0)): {'bw': 30}, ((0, 2), (6, 2)): {'bw': 46}, ((3, 0), (9, 5)): {'bw': 1}, ((3, 0), (5, 2)): {'bw': 1}, ((3, 0), (2, 6)): {'bw': 1}, ((3, 2), (9, 5)): {'bw': 17}, ((3, 2), (5, 2)): {'bw': 17}}",0.0,0.0,96.0,48.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,200.0,"{'node_level': {'cpu': -41}, 'link_level': {'bw': -9}, 'path_level': {}}","{'node_level': {2: {'cpu': -62}, 1: {'cpu': -65}, 0: {'cpu': -60}, 3: {'cpu': -41}}, 'link_level': {(1, 2): {'bw': -43}, (0, 1): {'bw': -13}, (0, 2): {'bw': -10}, (3, 0): {'bw': -9}, (3, 2): {'bw': -49}}, 'path_level': {(1, 2): {}, (0, 1): {}, (0, 2): {}, (3, 0): {}, (3, 2): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(1, 2): {'bw': 0}, (0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 0}}, 'path_level': {(1, 2): {}, (0, 1): {}, (0, 2): {}, (3, 0): {}, (3, 2): {}}}",[],-9.0,100.0,True,False,False,0,[],0,0.0,2.0,4.0,5.0
8,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,7,1,179.0,2231,1110,1121,0.03056768558951961,0.024369016536118338,7,975.3993538436497,179.0,3,2,False,"{1: 2, 0: 0, 2: 1}","{(0, 1): [(0, 2)], (2, 0): [(1, 0)]}","{(1, 2): {'cpu': 3}, (0, 0): {'cpu': 0}, (2, 1): {'cpu': 0}}","{((0, 1), (0, 2)): {'bw': 32}, ((2, 0), (1, 0)): {'bw': 50}}",0.0,0.0,6.0,3.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,200.0,"{'node_level': {'cpu': -65}, 'link_level': {'bw': -47}, 'path_level': {}}","{'node_level': {1: {'cpu': -74}, 0: {'cpu': -76}, 2: {'cpu': -65}}, 'link_level': {(0, 1): {'bw': -44}, (2, 0): {'bw': -47}}, 'path_level': {(0, 1): {}, (2, 0): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (2, 0): {'bw': 0}}, 'path_level': {(0, 1): {}, (2, 0): {}}}",[],-47.0,100.0,True,False,False,0,[],0,0.0,2.0,3.0,2.0
9,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,8,1,200.0,2231,1110,1121,0.03056768558951961,0.024369016536118338,8,267.6104373790477,200.0,7,10,False,"{5: 2, 4: 0, 2: 6, 0: 1, 1: 9}","{(4, 5): [(0, 2)], (2, 4): [(6, 2), (2, 0)], (2, 5): [(6, 2)], (0, 5): [(1, 0), (0, 2)], (1, 0): [(9, 5), (5, 2), (2, 0), (0, 1)], (1, 5): [(9, 5), (5, 2)]}","{(5, 2): {'cpu': 20}, (4, 0): {'cpu': 18}, (2, 6): {'cpu': 4}, (0, 1): {'cpu': 9}, (1, 9): {'cpu': 2}}","{((4, 5), (0, 2)): {'bw': 13}, ((2, 4), (6, 2)): {'bw': 31}, ((2, 4), (2, 0)): {'bw': 31}, ((2, 5), (6, 2)): {'bw': 48}, ((0, 5), (1, 0)): {'bw': 10}, ((0, 5), (0, 2)): {'bw': 10}, ((1, 0), (9, 5)): {'bw': 21}, ((1, 0), (5, 2)): {'bw': 21}, ((1, 0), (2, 0)): {'bw': 21}, ((1, 0), (0, 1)): {'bw': 21}, ((1, 5), (9, 5)): {'bw': 0}, ((1, 5), (5, 2)): {'bw': 0}}",0.0,0.0,152.0,76.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1000.0,"{'node_level': {'cpu': -65}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {5: {'cpu': -57}, 4: {'cpu': -58}, 2: {'cpu': -62}, 0: {'cpu': -56}, 1: {'cpu': -55}, 3: {'cpu': -65}}, 'link_level': {(4, 5): {'bw': -63}, (2, 4): {'bw': -32}, (2, 5): {'bw': -7}, (0, 5): {'bw': -22}, (1, 0): {'bw': -1}, (1, 5): {'bw': -46}, (3, 0): {'bw': -23}, (3, 2): {'bw': 100.0}}, 'path_level': {(4, 5): {}, (2, 4): {}, (2, 5): {}, (0, 5): {}, (1, 0): {}, (1, 5): {}, (3, 0): {}, (3, 2): {}}}","{'node_level': {5: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(4, 5): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (0, 5): {'bw': 0}, (1, 0): {'bw': 0}, (1, 5): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 100.0}}, 'path_level': {(4, 5): {}, (2, 4): {}, (2, 5): {}, (0, 5): {}, (1, 0): {}, (1, 5): {}, (3, 0): {}, (3, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,10.0,5.0,6.0
10,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,9,1,232.0,2231,1110,1121,0.03056768558951961,0.024369016536118338,9,944.1941561255088,232.0,6,9,False,"{3: 2, 0: 0}","{(0, 3): [(0, 2)]}","{(3, 2): {'cpu': 19}, (0, 0): {'cpu': 5}}","{((0, 3), (0, 2)): {'bw': 50}}",0.0,0.0,82.0,41.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1300.0,"{'node_level': {'cpu': -79}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {3: {'cpu': -58}, 0: {'cpu': -71}, 4: {'cpu': -79}}, 'link_level': {(0, 3): {'bw': -26}, (4, 0): {'bw': -35}, (4, 3): {'bw': 100.0}}, 'path_level': {(0, 3): {}, (4, 0): {}, (4, 3): {}}}","{'node_level': {3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (4, 0): {'bw': 0}, (4, 3): {'bw': 100.0}}, 'path_level': {(0, 3): {}, (4, 0): {}, (4, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,13.0,2.0,1.0
