v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,solving_time
1,1,1,616.0,3104.0,558547.588707116,2814499.5379007924,0.19845360824742267,0.19845360824742267,10,0,1,22.0,7399,1074,6325,0.08361774744027306,0.3221519665630693,0,906.733098550513,22.0,10,20,True,"{np.int64(0): np.int64(15), np.int64(1): np.int64(26), np.int64(2): np.int64(23), np.int64(3): np.int64(30), np.int64(4): np.int64(28), np.int64(5): np.int64(24), np.int64(6): np.int64(17), np.int64(7): np.int64(21), np.int64(8): np.int64(16), np.int64(9): np.int64(29)}","{(0, 1): [(np.int64(15), 7), (7, 3), (3, 1), (1, 4), (4, 10), (10, 26)], (0, 3): [(np.int64(15), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 14), (14, 30)], (0, 6): [(np.int64(15), 7), (7, 3), (3, 1), (1, 4), (4, 9), (9, 17)], (0, 7): [(np.int64(15), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 21)], (0, 9): [(np.int64(15), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 29)], (1, 2): [(np.int64(26), 10), (10, 4), (4, 1), (1, 3), (3, 7), (7, 23)], (1, 4): [(np.int64(26), 10), (10, 4), (4, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, 28)], (1, 6): [(np.int64(26), 10), (10, 4), (4, 9), (9, 17)], (1, 8): [(np.int64(26), 10), (10, 4), (4, 1), (1, 3), (3, 8), (8, 16)], (2, 7): [(np.int64(23), 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 21)], (3, 4): [(np.int64(30), 14), (14, 6), (6, 2), (2, 5), (5, 12), (12, 28)], (3, 5): [(np.int64(30), 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 3), (3, 8), (8, 24)], (3, 7): [(np.int64(30), 14), (14, 6), (6, 13), (13, 21)], (4, 7): [(np.int64(28), 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, 21)], (4, 9): [(np.int64(28), 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, 29)], (5, 8): [(np.int64(24), 8), (8, 16)], (5, 9): [(np.int64(24), 8), (8, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 29)], (6, 7): [(np.int64(17), 9), (9, 4), (4, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 21)], (6, 9): [(np.int64(17), 9), (9, 4), (4, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 29)], (7, 9): [(np.int64(21), 13), (13, 29)]}","{(np.int64(0), np.int64(15)): {'cpu': 11}, (np.int64(1), np.int64(26)): {'cpu': 9}, (np.int64(2), np.int64(23)): {'cpu': 15}, (np.int64(3), np.int64(30)): {'cpu': 11}, (np.int64(4), np.int64(28)): {'cpu': 2}, (np.int64(5), np.int64(24)): {'cpu': 19}, (np.int64(6), np.int64(17)): {'cpu': 7}, (np.int64(7), np.int64(21)): {'cpu': 10}, (np.int64(8), np.int64(16)): {'cpu': 13}, (np.int64(9), np.int64(29)): {'cpu': 1}}","{((0, 1), (np.int64(15), 7)): {'bw': 18}, ((0, 1), (7, 3)): {'bw': 18}, ((0, 1), (3, 1)): {'bw': 18}, ((0, 1), (1, 4)): {'bw': 18}, ((0, 1), (4, 10)): {'bw': 18}, ((0, 1), (10, 26)): {'bw': 18}, ((0, 3), (np.int64(15), 7)): {'bw': 25}, ((0, 3), (7, 3)): {'bw': 25}, ((0, 3), (3, 1)): {'bw': 25}, ((0, 3), (1, 0)): {'bw': 25}, ((0, 3), (0, 2)): {'bw': 25}, ((0, 3), (2, 6)): {'bw': 25}, ((0, 3), (6, 14)): {'bw': 25}, ((0, 3), (14, 30)): {'bw': 25}, ((0, 6), (np.int64(15), 7)): {'bw': 45}, ((0, 6), (7, 3)): {'bw': 45}, ((0, 6), (3, 1)): {'bw': 45}, ((0, 6), (1, 4)): {'bw': 45}, ((0, 6), (4, 9)): {'bw': 45}, ((0, 6), (9, 17)): {'bw': 45}, ((0, 7), (np.int64(15), 7)): {'bw': 26}, ((0, 7), (7, 3)): {'bw': 26}, ((0, 7), (3, 1)): {'bw': 26}, ((0, 7), (1, 0)): {'bw': 26}, ((0, 7), (0, 2)): {'bw': 26}, ((0, 7), (2, 6)): {'bw': 26}, ((0, 7), (6, 13)): {'bw': 26}, ((0, 7), (13, 21)): {'bw': 26}, ((0, 9), (np.int64(15), 7)): {'bw': 5}, ((0, 9), (7, 3)): {'bw': 5}, ((0, 9), (3, 1)): {'bw': 5}, ((0, 9), (1, 0)): {'bw': 5}, ((0, 9), (0, 2)): {'bw': 5}, ((0, 9), (2, 6)): {'bw': 5}, ((0, 9), (6, 13)): {'bw': 5}, ((0, 9), (13, 29)): {'bw': 5}, ((1, 2), (np.int64(26), 10)): {'bw': 11}, ((1, 2), (10, 4)): {'bw': 11}, ((1, 2), (4, 1)): {'bw': 11}, ((1, 2), (1, 3)): {'bw': 11}, ((1, 2), (3, 7)): {'bw': 11}, ((1, 2), (7, 23)): {'bw': 11}, ((1, 4), (np.int64(26), 10)): {'bw': 27}, ((1, 4), (10, 4)): {'bw': 27}, ((1, 4), (4, 1)): {'bw': 27}, ((1, 4), (1, 0)): {'bw': 27}, ((1, 4), (0, 2)): {'bw': 27}, ((1, 4), (2, 5)): {'bw': 27}, ((1, 4), (5, 12)): {'bw': 27}, ((1, 4), (12, 28)): {'bw': 27}, ((1, 6), (np.int64(26), 10)): {'bw': 30}, ((1, 6), (10, 4)): {'bw': 30}, ((1, 6), (4, 9)): {'bw': 30}, ((1, 6), (9, 17)): {'bw': 30}, ((1, 8), (np.int64(26), 10)): {'bw': 32}, ((1, 8), (10, 4)): {'bw': 32}, ((1, 8), (4, 1)): {'bw': 32}, ((1, 8), (1, 3)): {'bw': 32}, ((1, 8), (3, 8)): {'bw': 32}, ((1, 8), (8, 16)): {'bw': 32}, ((2, 7), (np.int64(23), 7)): {'bw': 8}, ((2, 7), (7, 3)): {'bw': 8}, ((2, 7), (3, 1)): {'bw': 8}, ((2, 7), (1, 0)): {'bw': 8}, ((2, 7), (0, 2)): {'bw': 8}, ((2, 7), (2, 6)): {'bw': 8}, ((2, 7), (6, 13)): {'bw': 8}, ((2, 7), (13, 21)): {'bw': 8}, ((3, 4), (np.int64(30), 14)): {'bw': 24}, ((3, 4), (14, 6)): {'bw': 24}, ((3, 4), (6, 2)): {'bw': 24}, ((3, 4), (2, 5)): {'bw': 24}, ((3, 4), (5, 12)): {'bw': 24}, ((3, 4), (12, 28)): {'bw': 24}, ((3, 5), (np.int64(30), 14)): {'bw': 16}, ((3, 5), (14, 6)): {'bw': 16}, ((3, 5), (6, 2)): {'bw': 16}, ((3, 5), (2, 0)): {'bw': 16}, ((3, 5), (0, 1)): {'bw': 16}, ((3, 5), (1, 3)): {'bw': 16}, ((3, 5), (3, 8)): {'bw': 16}, ((3, 5), (8, 24)): {'bw': 16}, ((3, 7), (np.int64(30), 14)): {'bw': 27}, ((3, 7), (14, 6)): {'bw': 27}, ((3, 7), (6, 13)): {'bw': 27}, ((3, 7), (13, 21)): {'bw': 27}, ((4, 7), (np.int64(28), 12)): {'bw': 47}, ((4, 7), (12, 5)): {'bw': 47}, ((4, 7), (5, 2)): {'bw': 47}, ((4, 7), (2, 6)): {'bw': 47}, ((4, 7), (6, 13)): {'bw': 47}, ((4, 7), (13, 21)): {'bw': 47}, ((4, 9), (np.int64(28), 12)): {'bw': 32}, ((4, 9), (12, 5)): {'bw': 32}, ((4, 9), (5, 2)): {'bw': 32}, ((4, 9), (2, 6)): {'bw': 32}, ((4, 9), (6, 13)): {'bw': 32}, ((4, 9), (13, 29)): {'bw': 32}, ((5, 8), (np.int64(24), 8)): {'bw': 35}, ((5, 8), (8, 16)): {'bw': 35}, ((5, 9), (np.int64(24), 8)): {'bw': 11}, ((5, 9), (8, 3)): {'bw': 11}, ((5, 9), (3, 1)): {'bw': 11}, ((5, 9), (1, 0)): {'bw': 11}, ((5, 9), (0, 2)): {'bw': 11}, ((5, 9), (2, 6)): {'bw': 11}, ((5, 9), (6, 13)): {'bw': 11}, ((5, 9), (13, 29)): {'bw': 11}, ((6, 7), (np.int64(17), 9)): {'bw': 46}, ((6, 7), (9, 4)): {'bw': 46}, ((6, 7), (4, 1)): {'bw': 46}, ((6, 7), (1, 0)): {'bw': 46}, ((6, 7), (0, 2)): {'bw': 46}, ((6, 7), (2, 6)): {'bw': 46}, ((6, 7), (6, 13)): {'bw': 46}, ((6, 7), (13, 21)): {'bw': 46}, ((6, 9), (np.int64(17), 9)): {'bw': 6}, ((6, 9), (9, 4)): {'bw': 6}, ((6, 9), (4, 1)): {'bw': 6}, ((6, 9), (1, 0)): {'bw': 6}, ((6, 9), (0, 2)): {'bw': 6}, ((6, 9), (2, 6)): {'bw': 6}, ((6, 9), (6, 13)): {'bw': 6}, ((6, 9), (13, 29)): {'bw': 6}, ((7, 9), (np.int64(21), 13)): {'bw': 47}, ((7, 9), (13, 29)): {'bw': 47}}",3104.0,616.0,392.0,98.0,518.0,98.0,518.0,98.0,3006.0,2488.0,0.19845360824742267,2814499.5379007924,558547.588707116,179.9444551247152,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -83}, np.int64(1): {'cpu': -67}, np.int64(2): {'cpu': -37}, np.int64(3): {'cpu': -72}, np.int64(4): {'cpu': -88}, np.int64(5): {'cpu': -33}, np.int64(6): {'cpu': -82}, np.int64(7): {'cpu': -66}, np.int64(8): {'cpu': -66}, np.int64(9): {'cpu': -95}}, 'link_level': {(0, 1): {'bw': -200}, (0, 3): {'bw': -190}, (0, 6): {'bw': -145}, (0, 7): {'bw': -119}, (0, 9): {'bw': -114}, (1, 2): {'bw': -103}, (1, 4): {'bw': -161}, (1, 6): {'bw': -132}, (1, 8): {'bw': -100}, (2, 7): {'bw': -95}, (3, 4): {'bw': -156}, (3, 5): {'bw': -166}, (3, 7): {'bw': -157}, (4, 7): {'bw': -109}, (4, 9): {'bw': -77}, (5, 8): {'bw': -161}, (5, 9): {'bw': -138}, (6, 7): {'bw': -83}, (6, 9): {'bw': -77}, (7, 9): {'bw': -183}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}, (0, 9): {}, (1, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 7): {}, (3, 4): {}, (3, 5): {}, (3, 7): {}, (4, 7): {}, (4, 9): {}, (5, 8): {}, (5, 9): {}, (6, 7): {}, (6, 9): {}, (7, 9): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}, np.int64(7): {'cpu': 0}, np.int64(8): {'cpu': 0}, np.int64(9): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (0, 9): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 7): {'bw': 0}, (3, 4): {'bw': 0}, (3, 5): {'bw': 0}, (3, 7): {'bw': 0}, (4, 7): {'bw': 0}, (4, 9): {'bw': 0}, (5, 8): {'bw': 0}, (5, 9): {'bw': 0}, (6, 7): {'bw': 0}, (6, 9): {'bw': 0}, (7, 9): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}, (0, 9): {}, (1, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 7): {}, (3, 4): {}, (3, 5): {}, (3, 7): {}, (4, 7): {}, (4, 9): {}, (5, 8): {}, (5, 9): {}, (6, 7): {}, (6, 9): {}, (7, 9): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.0,20.0,0.36045002937316895
2,1,1,616.0,3104.0,558547.588707116,2814499.5379007924,0.19845360824742267,0.19845360824742267,10,1,1,51.0,7399,1074,6325,0.08361774744027306,0.3221519665630693,1,382.57393229659357,51.0,5,5,False,{},{},{},{},0.0,0.0,78.0,39.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,0.07630491256713867
3,1,1,616.0,3104.0,558547.588707116,2814499.5379007924,0.19845360824742267,0.19845360824742267,10,2,1,73.0,7399,1074,6325,0.08361774744027306,0.3221519665630693,2,745.7559213725051,73.0,10,20,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,238.0,119.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.0,0.0,0.111083984375
4,1,1,616.0,3104.0,558547.588707116,2814499.5379007924,0.19845360824742267,0.19845360824742267,10,3,1,101.0,7399,1074,6325,0.08361774744027306,0.3221519665630693,3,131.2257067570419,101.0,10,27,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,128.0,64.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.0,0.0,0.11595487594604492
5,2,2,666.0,3178.0,642568.1886975351,2938850.0258866125,0.20956576463184393,0.21864613132263552,12,4,1,134.0,7325,1048,6277,0.10580204778156999,0.3272961097417212,4,1680.4119998083818,134.0,2,1,True,"{np.int64(0): np.int64(19), np.int64(1): np.int64(27)}","{(0, 1): [(np.int64(19), 11), (11, 27)]}","{(np.int64(0), np.int64(19)): {'cpu': 6}, (np.int64(1), np.int64(27)): {'cpu': 20}}","{((0, 1), (np.int64(19), 11)): {'bw': 24}, ((0, 1), (11, 27)): {'bw': 24}}",74.0,50.0,130.0,26.0,24.0,26.0,24.0,26.0,48.0,24.0,0.6756756756756757,124350.48798582025,84020.59999041908,1135.4135133840416,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -70}, np.int64(1): {'cpu': -35}}, 'link_level': {(0, 1): {'bw': -292}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,0.04888176918029785
6,2,2,666.0,3178.0,642568.1886975351,2938850.0258866125,0.20956576463184393,0.21864613132263552,12,5,1,159.0,7325,1048,6277,0.10580204778156999,0.3272961097417212,5,695.2060282383483,159.0,7,12,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1}",{},{},{},0.0,0.0,114.0,57.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,0.0,0.09895586967468262
7,2,2,666.0,3178.0,642568.1886975351,2938850.0258866125,0.20956576463184393,0.21864613132263552,12,6,1,182.0,7325,1048,6277,0.10580204778156999,0.3272961097417212,6,210.10706944032904,182.0,5,5,False,{},{},{},{},0.0,0.0,116.0,58.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,0.1122128963470459
8,3,3,961.0,4187.0,1080157.9800184588,4435555.447726654,0.22951994267972295,0.2435225966055886,14,7,1,204.0,6316,963,5353,0.17832764505119458,0.42632086593076846,7,1483.3552248166907,204.0,7,9,True,"{np.int64(0): np.int64(19), np.int64(1): np.int64(25), np.int64(2): np.int64(26), np.int64(3): np.int64(20), np.int64(4): np.int64(29), np.int64(5): np.int64(17), np.int64(6): np.int64(27)}","{(0, 4): [(np.int64(19), 11), (11, 5), (5, 2), (2, 6), (6, 13), (13, np.int64(29))], (0, 6): [(np.int64(19), 11), (11, 27)], (1, 2): [(np.int64(25), 9), (9, 4), (4, 10), (10, np.int64(26))], (1, 5): [(np.int64(25), 9), (9, 17)], (2, 4): [(np.int64(26), 10), (10, 4), (4, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, np.int64(29))], (2, 5): [(np.int64(26), 10), (10, 4), (4, 9), (9, np.int64(17))], (3, 4): [(np.int64(20), 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, np.int64(29))], (3, 6): [(np.int64(20), 12), (12, 5), (5, 11), (11, np.int64(27))], (4, 5): [(np.int64(29), 13), (13, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 9), (9, np.int64(17))]}","{(np.int64(0), np.int64(19)): {'cpu': 5}, (np.int64(1), np.int64(25)): {'cpu': 16}, (np.int64(2), np.int64(26)): {'cpu': 19}, (np.int64(3), np.int64(20)): {'cpu': 17}, (np.int64(4), np.int64(29)): {'cpu': 10}, (np.int64(5), np.int64(17)): {'cpu': 16}, (np.int64(6), np.int64(27)): {'cpu': 2}}","{((0, 4), (np.int64(19), 11)): {'bw': 15}, ((0, 4), (11, 5)): {'bw': 15}, ((0, 4), (5, 2)): {'bw': 15}, ((0, 4), (2, 6)): {'bw': 15}, ((0, 4), (6, 13)): {'bw': 15}, ((0, 4), (13, np.int64(29))): {'bw': 15}, ((0, 6), (np.int64(19), 11)): {'bw': 45}, ((0, 6), (11, 27)): {'bw': 45}, ((1, 2), (np.int64(25), 9)): {'bw': 8}, ((1, 2), (9, 4)): {'bw': 8}, ((1, 2), (4, 10)): {'bw': 8}, ((1, 2), (10, np.int64(26))): {'bw': 8}, ((1, 5), (np.int64(25), 9)): {'bw': 32}, ((1, 5), (9, 17)): {'bw': 32}, ((2, 4), (np.int64(26), 10)): {'bw': 20}, ((2, 4), (10, 4)): {'bw': 20}, ((2, 4), (4, 1)): {'bw': 20}, ((2, 4), (1, 0)): {'bw': 20}, ((2, 4), (0, 2)): {'bw': 20}, ((2, 4), (2, 6)): {'bw': 20}, ((2, 4), (6, 13)): {'bw': 20}, ((2, 4), (13, np.int64(29))): {'bw': 20}, ((2, 5), (np.int64(26), 10)): {'bw': 30}, ((2, 5), (10, 4)): {'bw': 30}, ((2, 5), (4, 9)): {'bw': 30}, ((2, 5), (9, np.int64(17))): {'bw': 30}, ((3, 4), (np.int64(20), 12)): {'bw': 18}, ((3, 4), (12, 5)): {'bw': 18}, ((3, 4), (5, 2)): {'bw': 18}, ((3, 4), (2, 6)): {'bw': 18}, ((3, 4), (6, 13)): {'bw': 18}, ((3, 4), (13, np.int64(29))): {'bw': 18}, ((3, 6), (np.int64(20), 12)): {'bw': 19}, ((3, 6), (12, 5)): {'bw': 19}, ((3, 6), (5, 11)): {'bw': 19}, ((3, 6), (11, np.int64(27))): {'bw': 19}, ((4, 5), (np.int64(29), 13)): {'bw': 23}, ((4, 5), (13, 6)): {'bw': 23}, ((4, 5), (6, 2)): {'bw': 23}, ((4, 5), (2, 0)): {'bw': 23}, ((4, 5), (0, 1)): {'bw': 23}, ((4, 5), (1, 4)): {'bw': 23}, ((4, 5), (4, 9)): {'bw': 23}, ((4, 5), (9, np.int64(17))): {'bw': 23}}",1009.0,295.0,255.0,85.0,210.0,85.0,210.0,85.0,924.0,714.0,0.2923686818632309,1496705.421840041,437589.7913209238,433.68661181459237,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -65}, np.int64(1): {'cpu': -35}, np.int64(2): {'cpu': -48}, np.int64(3): {'cpu': -50}, np.int64(4): {'cpu': -85}, np.int64(5): {'cpu': -66}, np.int64(6): {'cpu': -33}}, 'link_level': {(0, 4): {'bw': -62}, (0, 6): {'bw': -232}, (1, 2): {'bw': -92}, (1, 5): {'bw': -95}, (2, 4): {'bw': -51}, (2, 5): {'bw': -42}, (3, 4): {'bw': -33}, (3, 6): {'bw': -53}, (4, 5): {'bw': -10}}, 'path_level': {(0, 4): {}, (0, 6): {}, (1, 2): {}, (1, 5): {}, (2, 4): {}, (2, 5): {}, (3, 4): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (3, 4): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 4): {}, (0, 6): {}, (1, 2): {}, (1, 5): {}, (2, 4): {}, (2, 5): {}, (3, 4): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,9.0,0.1367647647857666
9,3,3,961.0,4187.0,1080157.9800184588,4435555.447726654,0.22951994267972295,0.2435225966055886,14,8,1,224.0,6316,963,5353,0.17832764505119458,0.42632086593076846,8,602.8400954844434,224.0,9,21,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}",{},{},{},0.0,0.0,168.0,84.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,0.0,0.09488701820373535
9,3,3,961.0,4187.0,1080157.9800184588,4435555.447726654,0.22951994267972295,0.2435225966055886,14,9,0,232.2257067570419,6316,963,5353,0.17832764505119458,0.42632086593076846,3,131.2257067570419,101.0,10,27,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
