v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,1,1,37.0,37.0,2994.5966039178393,2994.5966039178393,1.0,1.0,2,0,1,44.0,16934,2579,14355,0.006548536209553202,0.0013913043478260834,0,80.9350433491308,44.0,2,1,True,"{0: np.int64(1), 1: np.int64(20)}","{(0, 1): [(np.int64(1), 20)]}","{(0, np.int64(1)): {'cpu': 10}, (1, np.int64(20)): {'cpu': 7}}","{((0, 1), (np.int64(1), 20)): {'bw': 20}}",37.0,37.0,34.0,17.0,20.0,17.0,20.0,17.0,20.0,0.0,1.0,2994.5966039178393,2994.5966039178393,80.9350433491308,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -87}, 1: {'cpu': -89}}, 'link_level': {(0, 1): {'bw': -212}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,0
2,2,2,181.0,242.0,148860.02968133986,210650.24785997003,0.7479338842975206,0.7066691408798851,5,1,1,110.0,16729,2528,14201,0.026194144838212585,0.012104347826086936,1,1012.9543963709864,110.0,5,5,True,"{3: np.int64(0), 1: np.int64(20), 0: np.int64(1), 2: np.int64(28), 4: np.int64(23)}","{(0, 1): [(np.int64(1), 20)], (0, 3): [(np.int64(1), 4), (4, np.int64(0))], (1, 2): [(np.int64(20), 0), (0, np.int64(28))], (1, 3): [(np.int64(20), 0)], (3, 4): [(np.int64(0), 20), (20, np.int64(23))]}","{(3, np.int64(0)): {'cpu': 14}, (1, np.int64(20)): {'cpu': 14}, (0, np.int64(1)): {'cpu': 12}, (2, np.int64(28)): {'cpu': 8}, (4, np.int64(23)): {'cpu': 3}}","{((0, 1), (np.int64(1), 20)): {'bw': 3}, ((0, 3), (np.int64(1), 4)): {'bw': 17}, ((0, 3), (4, np.int64(0))): {'bw': 17}, ((1, 2), (np.int64(20), 0)): {'bw': 23}, ((1, 2), (0, np.int64(28))): {'bw': 23}, ((1, 3), (np.int64(20), 0)): {'bw': 29}, ((3, 4), (np.int64(0), 20)): {'bw': 21}, ((3, 4), (20, np.int64(23))): {'bw': 21}}",205.0,144.0,102.0,51.0,93.0,51.0,93.0,51.0,154.0,61.0,0.7024390243902439,207655.6512560522,145865.43307742203,711.5386979386441,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -80}, 1: {'cpu': -75}, 0: {'cpu': -75}, 2: {'cpu': -62}, 4: {'cpu': -84}}, 'link_level': {(0, 1): {'bw': -209}, (0, 3): {'bw': -325}, (1, 2): {'bw': -324}, (1, 3): {'bw': -295}, (3, 4): {'bw': -180}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}, (3, 4): {}}}","{'node_level': {3: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,5.0,0
2,2,1,181.0,242.0,148860.02968133986,210650.24785997003,0.7479338842975206,0.7066691408798851,5,2,0,124.9350433491308,16766,2545,14221,0.019645608628659494,0.010713043478260853,0,80.9350433491308,44.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
3,3,2,244.0,305.0,154445.78542334223,216236.0036019724,0.8,0.714246392139359,5,3,1,164.0,16703,2515,14188,0.031201848998459125,0.013008695652173885,2,88.66278955559326,164.0,3,2,True,"{2: np.int64(1), 0: np.int64(20), 1: np.int64(23)}","{(0, 1): [(np.int64(20), 23)], (0, 2): [(np.int64(20), 1)]}","{(2, np.int64(1)): {'cpu': 13}, (0, np.int64(20)): {'cpu': 5}, (1, np.int64(23)): {'cpu': 12}}","{((0, 1), (np.int64(20), 23)): {'bw': 7}, ((0, 2), (np.int64(20), 1)): {'bw': 26}}",63.0,63.0,60.0,30.0,33.0,30.0,33.0,30.0,33.0,0.0,1.0,5585.755742002376,5585.755742002376,88.66278955559326,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -72}, 0: {'cpu': -77}, 1: {'cpu': -72}}, 'link_level': {(0, 1): {'bw': -173}, (0, 2): {'bw': -203}}, 'path_level': {(0, 1): {}, (0, 2): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0,0
4,4,3,280.0,341.0,171653.18090502187,233443.39908365204,0.8211143695014663,0.7353096364207399,7,4,1,209.0,16667,2486,14181,0.0423728813559322,0.01349565217391302,3,477.98320782443494,209.0,2,1,True,"{0: np.int64(13), 1: np.int64(14)}","{(0, 1): [(np.int64(13), 14)]}","{(0, np.int64(13)): {'cpu': 15}, (1, np.int64(14)): {'cpu': 14}}","{((0, 1), (np.int64(13), 14)): {'bw': 7}}",36.0,36.0,58.0,29.0,7.0,29.0,7.0,29.0,7.0,0.0,1.0,17207.395481679658,17207.395481679658,477.98320782443494,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -59}, 1: {'cpu': -60}}, 'link_level': {(0, 1): {'bw': -272}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,0
4,4,2,280.0,341.0,171653.18090502187,233443.39908365204,0.8211143695014663,0.7353096364207399,7,5,0,252.66278955559326,16730,2516,14214,0.03081664098613246,0.011199999999999988,2,88.66278955559326,164.0,3,2,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
5,5,3,366.0,460.0,177337.0804405027,241308.32983623596,0.7956521739130434,0.7348982961377778,7,6,1,256.0,16611,2474,14137,0.046995377503852076,0.01655652173913047,4,66.09185506373058,256.0,5,4,True,"{3: np.int64(1), 2: np.int64(20), 1: np.int64(23), 4: np.int64(0), 0: np.int64(28)}","{(0, 2): [(np.int64(28), 0), (0, np.int64(20))], (1, 2): [(np.int64(23), 20)], (1, 4): [(np.int64(23), 20), (20, np.int64(0))], (3, 4): [(np.int64(1), 4), (4, np.int64(0))]}","{(3, np.int64(1)): {'cpu': 13}, (2, np.int64(20)): {'cpu': 10}, (1, np.int64(23)): {'cpu': 3}, (4, np.int64(0)): {'cpu': 2}, (0, np.int64(28)): {'cpu': 14}}","{((0, 2), (np.int64(28), 0)): {'bw': 1}, ((0, 2), (0, np.int64(20))): {'bw': 1}, ((1, 2), (np.int64(23), 20)): {'bw': 11}, ((1, 4), (np.int64(23), 20)): {'bw': 18}, ((1, 4), (20, np.int64(0))): {'bw': 18}, ((3, 4), (np.int64(1), 4)): {'bw': 14}, ((3, 4), (4, np.int64(0))): {'bw': 14}}",119.0,86.0,84.0,42.0,44.0,42.0,44.0,42.0,77.0,33.0,0.7226890756302521,7864.930752583939,5683.899535480829,47.76386164269605,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -72}, 2: {'cpu': -72}, 1: {'cpu': -81}, 4: {'cpu': -78}, 0: {'cpu': -48}}, 'link_level': {(0, 2): {'bw': -273}, (1, 2): {'bw': -169}, (1, 4): {'bw': -151}, (3, 4): {'bw': -311}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 4): {}, (3, 4): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,4.0,0
6,6,4,472.0,587.0,277185.3121341086,360937.8149785751,0.8040885860306644,0.7679586361727215,9,7,1,300.0,16484,2433,14051,0.06278890600924503,0.022539130434782617,5,941.9644499396782,300.0,5,5,True,"{3: np.int64(21), 0: np.int64(23), 1: np.int64(22), 2: np.int64(20), 4: np.int64(1)}","{(0, 1): [(np.int64(23), 20), (20, np.int64(22))], (0, 3): [(np.int64(23), 21)], (0, 4): [(np.int64(23), 20), (20, np.int64(1))], (1, 3): [(np.int64(22), 21)], (2, 3): [(np.int64(20), 22), (22, np.int64(21))]}","{(3, np.int64(21)): {'cpu': 8}, (0, np.int64(23)): {'cpu': 11}, (1, np.int64(22)): {'cpu': 9}, (2, np.int64(20)): {'cpu': 5}, (4, np.int64(1)): {'cpu': 8}}","{((0, 1), (np.int64(23), 20)): {'bw': 8}, ((0, 1), (20, np.int64(22))): {'bw': 8}, ((0, 3), (np.int64(23), 21)): {'bw': 18}, ((0, 4), (np.int64(23), 20)): {'bw': 2}, ((0, 4), (20, np.int64(1))): {'bw': 2}, ((1, 3), (np.int64(22), 21)): {'bw': 26}, ((2, 3), (np.int64(20), 22)): {'bw': 11}, ((2, 3), (22, np.int64(21))): {'bw': 11}}",127.0,106.0,82.0,41.0,65.0,41.0,65.0,41.0,86.0,21.0,0.8346456692913385,119629.48514233912,99848.23169360589,786.2065487685502,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -66}, 0: {'cpu': -70}, 1: {'cpu': -58}, 2: {'cpu': -67}, 4: {'cpu': -64}}, 'link_level': {(0, 1): {'bw': -143}, (0, 3): {'bw': -351}, (0, 4): {'bw': -141}, (1, 3): {'bw': -239}, (2, 3): {'bw': -228}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 4): {}, (1, 3): {}, (2, 3): {}}}","{'node_level': {3: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 4): {}, (1, 3): {}, (2, 3): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,5.0,0
6,6,3,472.0,587.0,277185.3121341086,360937.8149785751,0.8040885860306644,0.7679586361727215,9,8,0,322.0918550637306,16603,2475,14128,0.04661016949152541,0.017182608695652135,4,66.09185506373058,256.0,5,4,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
7,7,4,603.0,747.0,385045.412730013,492675.3424239546,0.8072289156626506,0.7815398490121221,10,9,1,349.0,16443,2426,14017,0.06548536209553157,0.02490434782608697,6,823.3595465336216,349.0,5,6,True,"{4: np.int64(1), 2: np.int64(28), 0: np.int64(0), 1: np.int64(20), 3: np.int64(4)}","{(0, 2): [(np.int64(0), 28)], (0, 4): [(np.int64(0), 4), (4, np.int64(1))], (1, 2): [(np.int64(20), 0), (0, np.int64(28))], (1, 4): [(np.int64(20), 1)], (2, 4): [(np.int64(28), 1)], (3, 4): [(np.int64(4), 1)]}","{(4, np.int64(1)): {'cpu': 14}, (2, np.int64(28)): {'cpu': 8}, (0, np.int64(0)): {'cpu': 12}, (1, np.int64(20)): {'cpu': 11}, (3, np.int64(4)): {'cpu': 4}}","{((0, 2), (np.int64(0), 28)): {'bw': 17}, ((0, 4), (np.int64(0), 4)): {'bw': 12}, ((0, 4), (4, np.int64(1))): {'bw': 12}, ((1, 2), (np.int64(20), 0)): {'bw': 17}, ((1, 2), (0, np.int64(28))): {'bw': 17}, ((1, 4), (np.int64(20), 1)): {'bw': 10}, ((2, 4), (np.int64(28), 1)): {'bw': 16}, ((3, 4), (np.int64(4), 1)): {'bw': 10}}",160.0,131.0,98.0,49.0,82.0,49.0,82.0,49.0,111.0,29.0,0.81875,131737.52744537947,107860.10059590443,674.1256287244026,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -63}, 2: {'cpu': -54}, 0: {'cpu': -68}, 1: {'cpu': -66}, 3: {'cpu': -49}}, 'link_level': {(0, 2): {'bw': -307}, (0, 4): {'bw': -313}, (1, 2): {'bw': -257}, (1, 4): {'bw': -217}, (2, 4): {'bw': -377}, (3, 4): {'bw': -303}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0,0
8,8,5,743.0,928.0,443977.07912378636,568865.5682616186,0.8006465517241379,0.7804604530390621,13,10,1,407.0,16262,2378,13884,0.08397534668721107,0.03415652173913042,7,420.940474241238,407.0,5,7,True,"{0: np.int64(5), 4: np.int64(7), 1: np.int64(6), 3: np.int64(4), 2: np.int64(1)}","{(0, 1): [(np.int64(5), 6)], (0, 2): [(np.int64(5), 6), (6, 4), (4, np.int64(1))], (0, 4): [(np.int64(5), 7)], (1, 2): [(np.int64(6), 4), (4, np.int64(1))], (1, 4): [(np.int64(6), 4), (4, np.int64(7))], (2, 3): [(np.int64(1), 4)], (2, 4): [(np.int64(1), 4), (4, np.int64(7))]}","{(0, np.int64(5)): {'cpu': 11}, (4, np.int64(7)): {'cpu': 12}, (1, np.int64(6)): {'cpu': 13}, (3, np.int64(4)): {'cpu': 10}, (2, np.int64(1)): {'cpu': 2}}","{((0, 1), (np.int64(5), 6)): {'bw': 17}, ((0, 2), (np.int64(5), 6)): {'bw': 7}, ((0, 2), (6, 4)): {'bw': 7}, ((0, 2), (4, np.int64(1))): {'bw': 7}, ((0, 4), (np.int64(5), 7)): {'bw': 16}, ((1, 2), (np.int64(6), 4)): {'bw': 10}, ((1, 2), (4, np.int64(1))): {'bw': 10}, ((1, 4), (np.int64(6), 4)): {'bw': 2}, ((1, 4), (4, np.int64(7))): {'bw': 2}, ((2, 3), (np.int64(1), 4)): {'bw': 25}, ((2, 4), (np.int64(1), 4)): {'bw': 15}, ((2, 4), (4, np.int64(7))): {'bw': 15}}",181.0,140.0,96.0,48.0,92.0,48.0,92.0,48.0,133.0,41.0,0.7734806629834254,76190.22583766408,58931.666393773325,325.5893170926703,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -78}, 4: {'cpu': -57}, 1: {'cpu': -46}, 3: {'cpu': -39}, 2: {'cpu': -61}}, 'link_level': {(0, 1): {'bw': -217}, (0, 2): {'bw': -210}, (0, 4): {'bw': -312}, (1, 2): {'bw': -286}, (1, 4): {'bw': -226}, (2, 3): {'bw': -261}, (2, 4): {'bw': -211}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {0: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,7.0,0
9,9,6,800.0,994.0,458878.8749596257,586120.2792294326,0.8048289738430584,0.7829090567603461,14,11,1,457.0,16196,2350,13846,0.09476117103235748,0.036800000000000055,8,261.43501466384834,457.0,3,2,True,"{0: np.int64(21), 1: np.int64(23), 2: np.int64(3)}","{(0, 2): [(np.int64(21), 3)], (1, 2): [(np.int64(23), 21), (21, np.int64(3))]}","{(0, np.int64(21)): {'cpu': 11}, (1, np.int64(23)): {'cpu': 14}, (2, np.int64(3)): {'cpu': 3}}","{((0, 2), (np.int64(21), 3)): {'bw': 20}, ((1, 2), (np.int64(23), 21)): {'bw': 9}, ((1, 2), (21, np.int64(3))): {'bw': 9}}",66.0,57.0,56.0,28.0,29.0,28.0,29.0,28.0,38.0,9.0,0.8636363636363636,17254.71096781399,14901.795835839355,225.78478539150538,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -55}, 1: {'cpu': -59}, 2: {'cpu': -50}}, 'link_level': {(0, 2): {'bw': -343}, (1, 2): {'bw': -334}}, 'path_level': {(0, 2): {}, (1, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0,0
10,10,7,901.0,1123.0,462498.4821509109,590743.3418796879,0.8023152270703473,0.7829093438095903,17,12,1,510.0,16067,2311,13756,0.1097842835130971,0.043060869565217375,9,35.83769496321958,510.0,5,7,True,"{4: np.int64(31), 0: np.int64(29), 2: np.int64(28), 1: np.int64(30), 3: np.int64(0)}","{(0, 1): [(np.int64(29), 30)], (0, 2): [(np.int64(29), 30), (30, np.int64(28))], (0, 3): [(np.int64(29), 30), (30, 28), (28, np.int64(0))], (1, 2): [(np.int64(30), 28)], (1, 3): [(np.int64(30), 28), (28, np.int64(0))], (2, 3): [(np.int64(28), 0)], (2, 4): [(np.int64(28), 31)]}","{(4, np.int64(31)): {'cpu': 15}, (0, np.int64(29)): {'cpu': 10}, (2, np.int64(28)): {'cpu': 3}, (1, np.int64(30)): {'cpu': 11}, (3, np.int64(0)): {'cpu': 0}}","{((0, 1), (np.int64(29), 30)): {'bw': 0}, ((0, 2), (np.int64(29), 30)): {'bw': 13}, ((0, 2), (30, np.int64(28))): {'bw': 13}, ((0, 3), (np.int64(29), 30)): {'bw': 6}, ((0, 3), (30, 28)): {'bw': 6}, ((0, 3), (28, np.int64(0))): {'bw': 6}, ((1, 2), (np.int64(30), 28)): {'bw': 4}, ((1, 3), (np.int64(30), 28)): {'bw': 3}, ((1, 3), (28, np.int64(0))): {'bw': 3}, ((2, 3), (np.int64(28), 0)): {'bw': 19}, ((2, 4), (np.int64(28), 31)): {'bw': 17}}",129.0,101.0,78.0,39.0,62.0,39.0,62.0,39.0,90.0,28.0,0.7829457364341085,4623.062650255326,3619.607191285178,28.058970475078898,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -50}, 0: {'cpu': -56}, 2: {'cpu': -51}, 1: {'cpu': -44}, 3: {'cpu': -68}}, 'link_level': {(0, 1): {'bw': -282}, (0, 2): {'bw': -198}, (0, 3): {'bw': -192}, (1, 2): {'bw': -188}, (1, 3): {'bw': -185}, (2, 3): {'bw': -262}, (2, 4): {'bw': -357}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {4: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,7.0,0
10,10,6,901.0,1123.0,462498.4821509109,590743.3418796879,0.8023152270703473,0.7829093438095903,17,13,0,545.8376949632196,16196,2350,13846,0.09476117103235748,0.036800000000000055,9,35.83769496321958,510.0,5,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
