v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,37.0,17145,2765,14380,0.0,0.0,0,98.19593720777934,37.0,6,6,False,"{0: 15, 1: 11, 2: 34, 3: 25, 4: 2, 5: 5}","{(3, 0): [(25, 22), (22, 20), (20, 0), (0, 12), (12, 15)], (4, 0): [(2, 13), (13, 15)], (4, 1): [(2, 5), (5, 7), (7, 11)], (4, 3): [(2, 21), (21, 22), (22, 25)], (5, 2): [(5, 2), (2, 29), (29, 31), (31, 34)], (5, 3): []}","{(0, 15): {'cpu': 68}, (1, 11): {'cpu': 71}, (2, 34): {'cpu': 63}, (3, 25): {'cpu': 47}, (4, 2): {'cpu': 54}, (5, 5): {'cpu': 52}}","{((3, 0), (25, 22)): {'bw': 73}, ((3, 0), (22, 20)): {'bw': 73}, ((3, 0), (20, 0)): {'bw': 73}, ((3, 0), (0, 12)): {'bw': 73}, ((3, 0), (12, 15)): {'bw': 73}, ((4, 0), (2, 13)): {'bw': 140}, ((4, 0), (13, 15)): {'bw': 140}, ((4, 1), (2, 5)): {'bw': 141}, ((4, 1), (5, 7)): {'bw': 141}, ((4, 1), (7, 11)): {'bw': 141}, ((4, 3), (2, 21)): {'bw': 138}, ((4, 3), (21, 22)): {'bw': 138}, ((4, 3), (22, 25)): {'bw': 138}, ((5, 2), (5, 2)): {'bw': 75}, ((5, 2), (2, 29)): {'bw': 75}, ((5, 2), (29, 31)): {'bw': 75}, ((5, 2), (31, 34)): {'bw': 75}}",0.0,0.0,710.0,355.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -41}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -29}, 1: {'cpu': -28}, 2: {'cpu': -33}, 3: {'cpu': -46}, 4: {'cpu': -41}, 5: {'cpu': -41}}, 'link_level': {(3, 0): {'bw': -158}, (4, 0): {'bw': -92}, (4, 1): {'bw': -122}, (4, 3): {'bw': -75}, (5, 2): {'bw': -47}, (5, 3): {'bw': 100.0}}, 'path_level': {(3, 0): {}, (4, 0): {}, (4, 1): {}, (4, 3): {}, (5, 2): {}, (5, 3): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(3, 0): {'bw': 0}, (4, 0): {'bw': 0}, (4, 1): {'bw': 0}, (4, 3): {'bw': 0}, (5, 2): {'bw': 0}, (5, 3): {'bw': 100.0}}, 'path_level': {(3, 0): {}, (4, 0): {}, (4, 1): {}, (4, 3): {}, (5, 2): {}, (5, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,6.0,6.0,2
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,75.0,17145,2765,14380,0.0,0.0,1,760.8495838383803,75.0,6,9,False,"{0: 5, 1: 25, 2: 15, 3: 11, 4: 34}","{(2, 1): [(15, 12), (12, 0), (0, 20), (20, 22), (22, 25)], (3, 1): [(11, 7), (7, 4), (4, 0), (0, 20), (20, 22), (22, 25)], (3, 2): [(11, 7), (7, 4), (4, 0), (0, 12), (12, 15)], (4, 0): [(34, 31), (31, 29), (29, 2), (2, 5)], (4, 1): []}","{(0, 5): {'cpu': 48}, (1, 25): {'cpu': 42}, (2, 15): {'cpu': 70}, (3, 11): {'cpu': 73}, (4, 34): {'cpu': 65}}","{((2, 1), (15, 12)): {'bw': 95}, ((2, 1), (12, 0)): {'bw': 95}, ((2, 1), (0, 20)): {'bw': 95}, ((2, 1), (20, 22)): {'bw': 95}, ((2, 1), (22, 25)): {'bw': 95}, ((3, 1), (11, 7)): {'bw': 136}, ((3, 1), (7, 4)): {'bw': 136}, ((3, 1), (4, 0)): {'bw': 136}, ((3, 1), (0, 20)): {'bw': 136}, ((3, 1), (20, 22)): {'bw': 136}, ((3, 1), (22, 25)): {'bw': 136}, ((3, 2), (11, 7)): {'bw': 96}, ((3, 2), (7, 4)): {'bw': 96}, ((3, 2), (4, 0)): {'bw': 96}, ((3, 2), (0, 12)): {'bw': 96}, ((3, 2), (12, 15)): {'bw': 96}, ((4, 0), (34, 31)): {'bw': 128}, ((4, 0), (31, 29)): {'bw': 128}, ((4, 0), (29, 2)): {'bw': 128}, ((4, 0), (2, 5)): {'bw': 128}}",0.0,0.0,696.0,348.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -31}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -45}, 1: {'cpu': -51}, 2: {'cpu': -27}, 3: {'cpu': -26}, 4: {'cpu': -31}}, 'link_level': {(2, 1): {'bw': -136}, (3, 1): {'bw': 0}, (3, 2): {'bw': -63}, (4, 0): {'bw': -135}, (4, 1): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (3, 1): {}, (3, 2): {}, (4, 0): {}, (4, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(2, 1): {'bw': 0}, (3, 1): {'bw': 0}, (3, 2): {'bw': 0}, (4, 0): {'bw': 0}, (4, 1): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (3, 1): {}, (3, 2): {}, (4, 0): {}, (4, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,5.0,2
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,103.0,17145,2765,14380,0.0,0.0,2,319.5270626266553,103.0,9,13,False,"{0: 24, 1: 2, 2: 0, 3: 34, 4: 28, 5: 11, 6: 25}","{(1, 0): [(2, 21), (21, 22), (22, 24)], (2, 0): [(0, 20), (20, 22), (22, 24)], (3, 2): [(34, 31), (31, 28), (28, 0)], (6, 0): []}","{(0, 24): {'cpu': 55}, (1, 2): {'cpu': 61}, (2, 0): {'cpu': 35}, (3, 34): {'cpu': 64}, (4, 28): {'cpu': 35}, (5, 11): {'cpu': 65}, (6, 25): {'cpu': 62}}","{((1, 0), (2, 21)): {'bw': 95}, ((1, 0), (21, 22)): {'bw': 95}, ((1, 0), (22, 24)): {'bw': 95}, ((2, 0), (0, 20)): {'bw': 115}, ((2, 0), (20, 22)): {'bw': 115}, ((2, 0), (22, 24)): {'bw': 115}, ((3, 2), (34, 31)): {'bw': 74}, ((3, 2), (31, 28)): {'bw': 74}, ((3, 2), (28, 0)): {'bw': 74}}",0.0,0.0,1006.0,503.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -31}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -37}, 1: {'cpu': -34}, 2: {'cpu': -55}, 3: {'cpu': -32}, 4: {'cpu': -57}, 5: {'cpu': -34}, 6: {'cpu': -31}}, 'link_level': {(1, 0): {'bw': -144}, (2, 0): {'bw': -60}, (3, 2): {'bw': -255}, (6, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (3, 2): {}, (6, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 0): {'bw': 0}, (3, 2): {'bw': 0}, (6, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (3, 2): {}, (6, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,7.0,4.0,2
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,135.19593720777934,17145,2765,14380,0.0,0.0,0,98.19593720777934,37.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,2
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,136.0,17145,2765,14380,0.0,0.0,3,150.2015914849124,136.0,8,10,False,"{0: 25, 1: 2, 2: 34, 3: 5, 4: 15, 5: 17}","{(2, 0): [(34, 31), (31, 28), (28, 0), (0, 20), (20, 22), (22, 25)], (4, 0): [(15, 12), (12, 0), (0, 20), (20, 22), (22, 25)], (5, 1): [(17, 14), (14, 13), (13, 2)], (5, 2): [(17, 14), (14, 12), (12, 0), (0, 28), (28, 31), (31, 34)], (5, 3): []}","{(0, 25): {'cpu': 35}, (1, 2): {'cpu': 64}, (2, 34): {'cpu': 64}, (3, 5): {'cpu': 37}, (4, 15): {'cpu': 68}, (5, 17): {'cpu': 56}}","{((2, 0), (34, 31)): {'bw': 82}, ((2, 0), (31, 28)): {'bw': 82}, ((2, 0), (28, 0)): {'bw': 82}, ((2, 0), (0, 20)): {'bw': 82}, ((2, 0), (20, 22)): {'bw': 82}, ((2, 0), (22, 25)): {'bw': 82}, ((4, 0), (15, 12)): {'bw': 106}, ((4, 0), (12, 0)): {'bw': 106}, ((4, 0), (0, 20)): {'bw': 106}, ((4, 0), (20, 22)): {'bw': 106}, ((4, 0), (22, 25)): {'bw': 106}, ((5, 1), (17, 14)): {'bw': 117}, ((5, 1), (14, 13)): {'bw': 117}, ((5, 1), (13, 2)): {'bw': 117}, ((5, 2), (17, 14)): {'bw': 150}, ((5, 2), (14, 12)): {'bw': 150}, ((5, 2), (12, 0)): {'bw': 150}, ((5, 2), (0, 28)): {'bw': 150}, ((5, 2), (28, 31)): {'bw': 150}, ((5, 2), (31, 34)): {'bw': 150}}",0.0,0.0,864.0,432.0,995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -20}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -58}, 1: {'cpu': -31}, 2: {'cpu': -32}, 3: {'cpu': -56}, 4: {'cpu': -29}, 5: {'cpu': -20}}, 'link_level': {(2, 0): {'bw': -149}, (4, 0): {'bw': -43}, (5, 1): {'bw': -126}, (5, 2): {'bw': -65}, (5, 3): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (4, 0): {}, (5, 1): {}, (5, 2): {}, (5, 3): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (4, 0): {'bw': 0}, (5, 1): {'bw': 0}, (5, 2): {'bw': 0}, (5, 3): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (4, 0): {}, (5, 1): {}, (5, 2): {}, (5, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,6.0,5.0,2
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,168.0,17145,2765,14380,0.0,0.0,4,589.4762948660839,168.0,9,21,False,"{0: 11, 1: 5, 2: 0, 3: 25, 4: 15}","{(2, 0): [(0, 4), (4, 7), (7, 11)], (2, 1): [(0, 4), (4, 6), (6, 5)], (3, 0): [(25, 22), (22, 20), (20, 0), (0, 4), (4, 7), (7, 11)], (3, 2): [(25, 22), (22, 20), (20, 1), (1, 12), (12, 0)], (4, 1): [(15, 13), (13, 2), (2, 5)], (4, 3): []}","{(0, 11): {'cpu': 74}, (1, 5): {'cpu': 56}, (2, 0): {'cpu': 47}, (3, 25): {'cpu': 56}, (4, 15): {'cpu': 69}}","{((2, 0), (0, 4)): {'bw': 90}, ((2, 0), (4, 7)): {'bw': 90}, ((2, 0), (7, 11)): {'bw': 90}, ((2, 1), (0, 4)): {'bw': 94}, ((2, 1), (4, 6)): {'bw': 94}, ((2, 1), (6, 5)): {'bw': 94}, ((3, 0), (25, 22)): {'bw': 99}, ((3, 0), (22, 20)): {'bw': 99}, ((3, 0), (20, 0)): {'bw': 99}, ((3, 0), (0, 4)): {'bw': 99}, ((3, 0), (4, 7)): {'bw': 99}, ((3, 0), (7, 11)): {'bw': 99}, ((3, 2), (25, 22)): {'bw': 141}, ((3, 2), (22, 20)): {'bw': 141}, ((3, 2), (20, 1)): {'bw': 141}, ((3, 2), (1, 12)): {'bw': 141}, ((3, 2), (12, 0)): {'bw': 141}, ((4, 1), (15, 13)): {'bw': 100}, ((4, 1), (13, 2)): {'bw': 100}, ((4, 1), (2, 5)): {'bw': 100}}",0.0,0.0,1050.0,525.0,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -28}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -25}, 1: {'cpu': -37}, 2: {'cpu': -43}, 3: {'cpu': -37}, 4: {'cpu': -28}}, 'link_level': {(2, 0): {'bw': -205}, (2, 1): {'bw': -111}, (3, 0): {'bw': -12}, (3, 2): {'bw': 0}, (4, 1): {'bw': -132}, (4, 3): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (3, 0): {}, (3, 2): {}, (4, 1): {}, (4, 3): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 0}, (4, 1): {'bw': 0}, (4, 3): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (3, 0): {}, (3, 2): {}, (4, 1): {}, (4, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,6.0,2
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,192.0,17145,2765,14380,0.0,0.0,5,1968.2879632316167,192.0,6,8,False,"{0: 15, 1: 25, 2: 2, 3: 5, 4: 34}","{(2, 1): [(2, 21), (21, 22), (22, 25)], (3, 0): [(5, 2), (2, 13), (13, 15)], (3, 1): [(5, 2), (2, 21), (21, 22), (22, 25)], (3, 2): [(5, 3), (3, 13), (13, 2)], (4, 0): [(34, 31), (31, 28), (28, 0), (0, 12), (12, 15)], (4, 1): []}","{(0, 15): {'cpu': 63}, (1, 25): {'cpu': 41}, (2, 2): {'cpu': 49}, (3, 5): {'cpu': 30}, (4, 34): {'cpu': 49}}","{((2, 1), (2, 21)): {'bw': 86}, ((2, 1), (21, 22)): {'bw': 86}, ((2, 1), (22, 25)): {'bw': 86}, ((3, 0), (5, 2)): {'bw': 142}, ((3, 0), (2, 13)): {'bw': 142}, ((3, 0), (13, 15)): {'bw': 142}, ((3, 1), (5, 2)): {'bw': 111}, ((3, 1), (2, 21)): {'bw': 111}, ((3, 1), (21, 22)): {'bw': 111}, ((3, 1), (22, 25)): {'bw': 111}, ((3, 2), (5, 3)): {'bw': 72}, ((3, 2), (3, 13)): {'bw': 72}, ((3, 2), (13, 2)): {'bw': 72}, ((4, 0), (34, 31)): {'bw': 111}, ((4, 0), (31, 28)): {'bw': 111}, ((4, 0), (28, 0)): {'bw': 111}, ((4, 0), (0, 12)): {'bw': 111}, ((4, 0), (12, 15)): {'bw': 111}}",0.0,0.0,612.0,306.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -47}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -34}, 1: {'cpu': -52}, 2: {'cpu': -46}, 3: {'cpu': -63}, 4: {'cpu': -47}}, 'link_level': {(2, 1): {'bw': -153}, (3, 0): {'bw': -90}, (3, 1): {'bw': -10}, (3, 2): {'bw': -35}, (4, 0): {'bw': -185}, (4, 1): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (3, 0): {}, (3, 1): {}, (3, 2): {}, (4, 0): {}, (4, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(2, 1): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (3, 2): {'bw': 0}, (4, 0): {'bw': 0}, (4, 1): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (3, 0): {}, (3, 1): {}, (3, 2): {}, (4, 0): {}, (4, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,6.0,2
7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,1,219.0,17145,2765,14380,0.0,0.0,6,141.34964621752465,219.0,8,16,False,"{0: 25, 1: 2, 2: 11, 3: 24, 4: 5}","{(1, 0): [(2, 21), (21, 22), (22, 25)], (2, 1): [(11, 7), (7, 5), (5, 2)], (3, 0): [(24, 22), (22, 25)], (3, 1): [(24, 22), (22, 20), (20, 0), (0, 4), (4, 6), (6, 5), (5, 2)], (4, 0): []}","{(0, 25): {'cpu': 63}, (1, 2): {'cpu': 63}, (2, 11): {'cpu': 80}, (3, 24): {'cpu': 58}, (4, 5): {'cpu': 45}}","{((1, 0), (2, 21)): {'bw': 149}, ((1, 0), (21, 22)): {'bw': 149}, ((1, 0), (22, 25)): {'bw': 149}, ((2, 1), (11, 7)): {'bw': 87}, ((2, 1), (7, 5)): {'bw': 87}, ((2, 1), (5, 2)): {'bw': 87}, ((3, 0), (24, 22)): {'bw': 109}, ((3, 0), (22, 25)): {'bw': 109}, ((3, 1), (24, 22)): {'bw': 134}, ((3, 1), (22, 20)): {'bw': 134}, ((3, 1), (20, 0)): {'bw': 134}, ((3, 1), (0, 4)): {'bw': 134}, ((3, 1), (4, 6)): {'bw': 134}, ((3, 1), (6, 5)): {'bw': 134}, ((3, 1), (5, 2)): {'bw': 134}}",0.0,0.0,986.0,493.0,1783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -48}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -30}, 1: {'cpu': -32}, 2: {'cpu': -19}, 3: {'cpu': -34}, 4: {'cpu': -48}}, 'link_level': {(1, 0): {'bw': -90}, (2, 1): {'bw': -176}, (3, 0): {'bw': -28}, (3, 1): {'bw': -27}, (4, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 0): {}, (3, 1): {}, (4, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (4, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 0): {}, (3, 1): {}, (4, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,5.0,2
8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,1,254.0,17145,2765,14380,0.0,0.0,7,780.904693719913,254.0,7,12,False,"{0: 34, 1: 11, 2: 15, 3: 28, 4: 2, 5: 5}","{(1, 0): [(11, 7), (7, 4), (4, 0), (0, 28), (28, 31), (31, 34)], (2, 1): [(15, 12), (12, 0), (0, 4), (4, 7), (7, 11)], (3, 0): [(28, 31), (31, 34)], (3, 2): [(28, 0), (0, 12), (12, 15)], (4, 0): [(2, 29), (29, 31), (31, 34)], (4, 1): [(2, 5), (5, 7), (7, 11)], (4, 3): [(2, 29), (29, 30), (30, 28)], (5, 0): []}","{(0, 34): {'cpu': 65}, (1, 11): {'cpu': 75}, (2, 15): {'cpu': 70}, (3, 28): {'cpu': 30}, (4, 2): {'cpu': 58}, (5, 5): {'cpu': 35}}","{((1, 0), (11, 7)): {'bw': 145}, ((1, 0), (7, 4)): {'bw': 145}, ((1, 0), (4, 0)): {'bw': 145}, ((1, 0), (0, 28)): {'bw': 145}, ((1, 0), (28, 31)): {'bw': 145}, ((1, 0), (31, 34)): {'bw': 145}, ((2, 1), (15, 12)): {'bw': 90}, ((2, 1), (12, 0)): {'bw': 90}, ((2, 1), (0, 4)): {'bw': 90}, ((2, 1), (4, 7)): {'bw': 90}, ((2, 1), (7, 11)): {'bw': 90}, ((3, 0), (28, 31)): {'bw': 128}, ((3, 0), (31, 34)): {'bw': 128}, ((3, 2), (28, 0)): {'bw': 141}, ((3, 2), (0, 12)): {'bw': 141}, ((3, 2), (12, 15)): {'bw': 141}, ((4, 0), (2, 29)): {'bw': 105}, ((4, 0), (29, 31)): {'bw': 105}, ((4, 0), (31, 34)): {'bw': 105}, ((4, 1), (2, 5)): {'bw': 131}, ((4, 1), (5, 7)): {'bw': 131}, ((4, 1), (7, 11)): {'bw': 131}, ((4, 3), (2, 29)): {'bw': 95}, ((4, 3), (29, 30)): {'bw': 95}, ((4, 3), (30, 28)): {'bw': 95}}",0.0,0.0,762.0,381.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -58}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -31}, 1: {'cpu': -24}, 2: {'cpu': -27}, 3: {'cpu': -62}, 4: {'cpu': -37}, 5: {'cpu': -58}}, 'link_level': {(1, 0): {'bw': -150}, (2, 1): {'bw': -60}, (3, 0): {'bw': -56}, (3, 2): {'bw': -65}, (4, 0): {'bw': -20}, (4, 1): {'bw': -24}, (4, 3): {'bw': -161}, (5, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 0): {}, (3, 2): {}, (4, 0): {}, (4, 1): {}, (4, 3): {}, (5, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 0}, (4, 0): {'bw': 0}, (4, 1): {'bw': 0}, (4, 3): {'bw': 0}, (5, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 0): {}, (3, 2): {}, (4, 0): {}, (4, 1): {}, (4, 3): {}, (5, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,6.0,8.0,2
9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,284.0,17145,2765,14380,0.0,0.0,8,718.4470937408524,284.0,9,23,False,"{0: 11, 1: 5, 2: 15, 3: 2, 4: 25}","{(1, 0): [(5, 7), (7, 11)], (2, 0): [(15, 12), (12, 0), (0, 4), (4, 7), (7, 11)], (3, 1): [(2, 5)], (4, 0): [(25, 22), (22, 20), (20, 0), (0, 4), (4, 7), (7, 11)], (4, 1): [(25, 22), (22, 21), (21, 2), (2, 5)], (4, 2): []}","{(0, 11): {'cpu': 74}, (1, 5): {'cpu': 41}, (2, 15): {'cpu': 64}, (3, 2): {'cpu': 42}, (4, 25): {'cpu': 41}}","{((1, 0), (5, 7)): {'bw': 119}, ((1, 0), (7, 11)): {'bw': 119}, ((2, 0), (15, 12)): {'bw': 80}, ((2, 0), (12, 0)): {'bw': 80}, ((2, 0), (0, 4)): {'bw': 80}, ((2, 0), (4, 7)): {'bw': 80}, ((2, 0), (7, 11)): {'bw': 80}, ((3, 1), (2, 5)): {'bw': 115}, ((4, 0), (25, 22)): {'bw': 64}, ((4, 0), (22, 20)): {'bw': 64}, ((4, 0), (20, 0)): {'bw': 64}, ((4, 0), (0, 4)): {'bw': 64}, ((4, 0), (4, 7)): {'bw': 64}, ((4, 0), (7, 11)): {'bw': 64}, ((4, 1), (25, 22)): {'bw': 140}, ((4, 1), (22, 21)): {'bw': 140}, ((4, 1), (21, 2)): {'bw': 140}, ((4, 1), (2, 5)): {'bw': 140}}",0.0,0.0,870.0,435.0,2441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -52}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -25}, 1: {'cpu': -52}, 2: {'cpu': -33}, 3: {'cpu': -53}, 4: {'cpu': -52}}, 'link_level': {(1, 0): {'bw': -154}, (2, 0): {'bw': -191}, (3, 1): {'bw': -148}, (4, 0): {'bw': -127}, (4, 1): {'bw': -8}, (4, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (3, 1): {}, (4, 0): {}, (4, 1): {}, (4, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 0): {'bw': 0}, (3, 1): {'bw': 0}, (4, 0): {'bw': 0}, (4, 1): {'bw': 0}, (4, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (3, 1): {}, (4, 0): {}, (4, 1): {}, (4, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,6.0,2
