objective,baseline_algorithm,baseline_accuracy,tree_accuracy,improvement_pp,improvement_relative,tree_better
RAC,ga_meta,34.35980551053485,86.10375098174416,51.74394547120931,150.59440733837803,True
LRC,pl_rank,27.22852512155591,83.12284327312773,55.89431815157181,205.2785374971417,True
LAR,ga_meta,22.852512155591572,76.61345985057032,53.760947694978746,235.2518065801552,True
AST,pl_rank,59.15721231766613,100.0,40.84278768233387,69.04109589041094,True
BALANCED,pl_rank,30.47001620745543,75.29731228506483,44.827296077609404,147.1193706376862,True
