topology,algorithm,rac,lrc,lar,ast,balanced,num_records,num_accepted
fat_tree,d_round,29.786666666666665,0.12715203386384322,57.8676,0.06093172673193257,155.40661401275568,7500,2234
fat_tree,ga_meta,35.61333333333334,0.25132215079313375,89.224,0.14704803272099734,200.3988943994461,7500,2671
fat_tree,mcts,32.50666666666667,0.19098623393304023,60.4232,0.19384878364214786,148.66475772481382,7500,2438
fat_tree,mip,38.87965425531915,0.3134431553243879,152.56964760638297,1.52664053881774,313.62677963058616,6016,2339
fat_tree,pl_rank,35.93333333333334,0.2766665535344306,96.722,0.003735036103708887,215.33580215789985,7500,2695
fat_tree,pso_meta,29.720000000000002,0.23354056878461432,56.60013333333333,0.10485098060346133,152.33470499454776,7500,2229
fat_tree,rw_rank_bfs,28.85333333333333,0.24871232057691642,67.5244,0.000977634838384197,187.22087656175694,7500,2164
fat_tree,sa_meta,32.6,0.24444286363506068,76.22026666666666,0.05545620314164905,187.03250794137577,7500,2445
tree,d_round,8.75,0.03467860364215017,4.24125,0.061066579252134476,38.76492954129243,7200,630
tree,ga_meta,17.253333333333334,0.11991015436834133,10.866,0.14276742236490905,50.354754088942784,7500,1294
tree,mcts,11.057971014492754,0.0562352176054415,6.430289855072464,0.20239157583181872,46.48009835586903,6900,763
tree,mip,25.769545083083628,0.24533747852098134,25.301007899754836,1.5619857220154487,78.23305740105145,3671,946
tree,pl_rank,19.430555555555557,0.16767521108796202,14.168888888888889,0.0037074101495270214,58.33578460803443,7200,1399
tree,pso_meta,10.11111111111111,0.0816217665462197,5.25125,0.10972893346625584,41.526405861658404,7200,728
tree,rw_rank_bfs,19.26086956521739,0.1778982199457426,17.211159420289857,0.0009953718932164037,71.48633215210745,6900,1329
tree,sa_meta,13.194444444444445,0.10259235385705766,7.745,0.05713346555323903,46.9477312016262,7200,950
waxman_16,d_round,33.2,0.05638637784127162,44.872,0.06073255644537762,108.11315469353019,1000,332
waxman_16,ga_meta,50.0,0.19754776414927552,80.731,0.14048488814852914,129.14150302237033,1000,500
waxman_16,mcts,47.699999999999996,0.15172551757489242,73.401,0.18548849007946955,123.06730481770738,1000,477
waxman_16,mip,65.2,0.36730054737735157,129.781,1.4720266783166458,158.9460854618827,1000,652
waxman_16,pl_rank,53.400000000000006,0.21962693204119937,87.34600000000002,0.003738249621324313,130.85468306168625,1000,534
waxman_16,rw_rank_bfs,47.5,0.18514563485983834,82.55,0.0009764619992250767,139.03138365496858,1000,475
waxman_16,sa_meta,46.1,0.1747654628056739,76.173,0.0542272601252436,132.1765732030726,1000,461
