objective,baseline_algorithm,baseline_frequency,baseline_metric,best_global_algorithm,best_global_metric,tree_metric,oracle_metric,improvement_vs_baseline,improvement_pct,improvement_vs_best_global,improvement_vs_best_global_pct,gap_to_oracle,gap_pct,baseline_matched,tree_matched,oracle_matched
RAC,ga_meta,0.34359805510534847,0.4317073170731707,mip,0.32926829268292684,0.8195121951219512,1.0,0.38780487804878044,89.83050847457626,0.4902439024390243,148.88888888888886,0.18048780487804883,18.048780487804883,410,410,410
LRC,pl_rank,0.27228525121555913,0.4573920302745547,d_round,0.05341229003935982,0.7261526066781006,0.864607366380237,0.26876057640354584,58.75934835205137,0.6727403166387407,1259.5234470250095,0.1384547597021365,16.013599361498716,410,410,410
LAR,ga_meta,0.22852512155591573,70.29024390243903,ga_meta,70.29024390243903,113.44634146341464,281.42439024390245,43.15609756097561,61.39699503799576,,,167.97804878048782,59.688518338764474,410,410,410
