algorithm,acceptance_rate,total_revenue,revenue_cost_ratio,avg_time_per_vnr,num_accepted,num_records
mip,36.839150369607935,186808.47742411183,115.59421237376975,1.0255055183537927,3937,10687
pl_rank,29.477707006369425,388386.5594074074,127.4309942858663,0.6607896296296296,4628,15700
ga_meta,27.90625,400628.07833333337,139.81552541714984,0.6027366666666666,4465,16000
rw_rank_bfs,25.766233766233764,373936.96674009657,120.44870663321625,0.5576185314009663,3968,15400
sa_meta,24.56050955414013,372568.9479111111,133.52924578247425,0.5337942222222222,3856,15700
mcts,23.883116883116884,379747.99543768115,167.03545148587622,0.46751496618357485,3678,15400
d_round,20.35668789808917,365429.7344666667,246.03496101517538,0.3566028333333333,3196,15700
pso_meta,20.1156462585034,352102.7297416667,120.0352434508939,0.30925691666666666,2957,14700
