v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,num_placed_nodes,num_routed_links,seed
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8.0,9659,4735,4924,0.0,0.0,0,1907.2759822784224,8.0,7,9,False,{0: 13},{},"{(0, 13): {'cpu': 45}}",{},0.0,0.0,530.0,265.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2600.0,"{'node_level': {'cpu': -46}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -37}, 1: {'cpu': -46}}, 'link_level': {(1, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,26.0,1.0,0.0,3
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,17.0,9659,4735,4924,0.0,0.0,1,349.33223409363376,17.0,5,5,False,"{4: 13, 2: 6}","{(2, 4): [(6, 13)]}","{(4, 13): {'cpu': 48}, (2, 6): {'cpu': 35}}","{((2, 4), (6, 13)): {'bw': 81}}",0.0,0.0,360.0,180.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2500.0,"{'node_level': {'cpu': -49}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {4: {'cpu': -34}, 2: {'cpu': -34}, 0: {'cpu': -49}}, 'link_level': {(2, 4): {'bw': -17}, (0, 2): {'bw': 100.0}}, 'path_level': {(2, 4): {}, (0, 2): {}}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(2, 4): {'bw': 0}, (0, 2): {'bw': 100.0}}, 'path_level': {(2, 4): {}, (0, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,25.0,2.0,1.0,3
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,24.0,9659,4735,4924,0.0,0.0,2,883.0490146845523,24.0,6,5,False,"{0: 13, 1: 6, 5: 27, 3: 28, 2: 14, 4: 43}","{(1, 0): [(6, 13)], (5, 0): [(27, 13)], (3, 0): [(28, 13)], (2, 1): [(14, 6)], (4, 5): [(43, 27)]}","{(0, 13): {'cpu': 39}, (1, 6): {'cpu': 59}, (5, 27): {'cpu': 44}, (3, 28): {'cpu': 50}, (2, 14): {'cpu': 54}, (4, 43): {'cpu': 56}}","{((1, 0), (6, 13)): {'bw': 93}, ((5, 0), (27, 13)): {'bw': 75}, ((3, 0), (28, 13)): {'bw': 80}, ((2, 1), (14, 6)): {'bw': 61}, ((4, 5), (43, 27)): {'bw': 43}}",0.0,0.0,604.0,302.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,1.0,"{'node_level': {'cpu': -15}, 'link_level': {'bw': -42}, 'path_level': {}}","{'node_level': {0: {'cpu': -43}, 1: {'cpu': -10}, 5: {'cpu': -11}, 3: {'cpu': -40}, 2: {'cpu': -16}, 4: {'cpu': -15}}, 'link_level': {(1, 0): {'bw': -5}, (5, 0): {'bw': -2}, (3, 0): {'bw': -19}, (2, 1): {'bw': -22}, (4, 5): {'bw': -42}}, 'path_level': {(1, 0): {}, (5, 0): {}, (3, 0): {}, (2, 1): {}, (4, 5): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (5, 0): {'bw': 0}, (3, 0): {'bw': 0}, (2, 1): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(1, 0): {}, (5, 0): {}, (3, 0): {}, (2, 1): {}, (4, 5): {}}}",[],-15.0,0.0,False,True,False,0,[],0,0.0,1.0,6.0,5.0,3
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,32.0,9659,4735,4924,0.0,0.0,3,38.46093094302064,32.0,8,10,False,"{4: 13, 1: 6, 2: 28}","{(1, 4): [(6, 13)], (2, 4): [(28, 13)]}","{(4, 13): {'cpu': 45}, (1, 6): {'cpu': 57}, (2, 28): {'cpu': 41}}","{((1, 4), (6, 13)): {'bw': 76}, ((2, 4), (28, 13)): {'bw': 99}}",0.0,0.0,700.0,350.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2400.0,"{'node_level': {'cpu': -37}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {4: {'cpu': -37}, 1: {'cpu': -12}, 2: {'cpu': -49}, 6: {'cpu': -37}}, 'link_level': {(1, 4): {'bw': -22}, (2, 4): {'bw': 0}, (6, 2): {'bw': 100.0}}, 'path_level': {(1, 4): {}, (2, 4): {}, (6, 2): {}}}","{'node_level': {4: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (6, 2): {'bw': 100.0}}, 'path_level': {(1, 4): {}, (2, 4): {}, (6, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,24.0,3.0,2.0,3
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,38.0,9659,4735,4924,0.0,0.0,4,325.9214852912518,38.0,5,7,False,"{0: 13, 2: 6}","{(2, 0): [(6, 13)]}","{(0, 13): {'cpu': 55}, (2, 6): {'cpu': 34}}","{((2, 0), (6, 13)): {'bw': 46}}",0.0,0.0,378.0,189.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2500.0,"{'node_level': {'cpu': -38}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -27}, 2: {'cpu': -35}, 1: {'cpu': -38}}, 'link_level': {(2, 0): {'bw': -52}, (1, 0): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (1, 0): {}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (1, 0): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (1, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,25.0,2.0,1.0,3
6,1,1,448.0,448.0,14403.945448964754,14403.945448964754,1.0,1.0,5,5,1,52.0,9211,4522,4689,0.044984160506863824,0.04772542648253453,5,32.15166394858204,52.0,5,4,True,"{3: 13, 1: 6, 4: 27, 0: 28, 2: 2}","{(1, 3): [(6, 13)], (4, 3): [(27, 13)], (0, 3): [(28, 13)], (2, 1): [(2, 6)]}","{(3, 13): {'cpu': 55}, (1, 6): {'cpu': 21}, (4, 27): {'cpu': 44}, (0, 28): {'cpu': 41}, (2, 2): {'cpu': 52}}","{((1, 3), (6, 13)): {'bw': 72}, ((4, 3), (27, 13)): {'bw': 58}, ((0, 3), (28, 13)): {'bw': 61}, ((2, 1), (2, 6)): {'bw': 44}}",448.0,448.0,426.0,213.0,235.0,213.0,235.0,213.0,235.0,0.0,1.0,14403.945448964754,14403.945448964754,32.15166394858204,Success,0.0,"{'node_level': {'cpu': -1}, 'link_level': {'bw': -24}, 'path_level': {}}","{'node_level': {3: {'cpu': -27}, 1: {'cpu': -48}, 4: {'cpu': -11}, 0: {'cpu': -49}, 2: {'cpu': -1}}, 'link_level': {(1, 3): {'bw': -26}, (4, 3): {'bw': -19}, (0, 3): {'bw': -38}, (2, 1): {'bw': -24}}, 'path_level': {(1, 3): {}, (4, 3): {}, (0, 3): {}, (2, 1): {}}}","{'node_level': {3: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(1, 3): {'bw': 0}, (4, 3): {'bw': 0}, (0, 3): {'bw': 0}, (2, 1): {'bw': 0}}, 'path_level': {(1, 3): {}, (4, 3): {}, (0, 3): {}, (2, 1): {}}}",[],-1.0,0.0,True,True,False,0,[],0,0.0,0.0,5.0,4.0,3
7,1,1,448.0,448.0,14403.945448964754,14403.945448964754,1.0,1.0,5,6,1,58.0,9211,4522,4689,0.044984160506863824,0.04772542648253453,6,1078.124279638124,58.0,5,5,False,"{3: 12, 1: 5}","{(1, 3): [(5, 12)]}","{(3, 12): {'cpu': 28}, (1, 5): {'cpu': 39}}","{((1, 3), (5, 12)): {'bw': 77}}",0.0,0.0,312.0,156.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,2254.0,"{'node_level': {'cpu': -52}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {3: {'cpu': -60}, 1: {'cpu': -32}, 0: {'cpu': -52}}, 'link_level': {(1, 3): {'bw': -3}, (0, 1): {'bw': 100.0}, (0, 3): {'bw': 100.0}}, 'path_level': {(1, 3): {}, (0, 1): {}, (0, 3): {}}}","{'node_level': {3: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(1, 3): {'bw': 0}, (0, 1): {'bw': 100.0}, (0, 3): {'bw': 100.0}}, 'path_level': {(1, 3): {}, (0, 1): {}, (0, 3): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,25.0,2.0,1.0,3
8,1,1,448.0,448.0,14403.945448964754,14403.945448964754,1.0,1.0,5,7,1,68.0,9211,4522,4689,0.044984160506863824,0.04772542648253453,7,295.1240066097526,68.0,10,27,False,"{3: 12, 9: 5}","{(9, 3): [(5, 12)]}","{(3, 12): {'cpu': 57}, (9, 5): {'cpu': 41}}","{((9, 3), (5, 12)): {'bw': 78}}",0.0,0.0,696.0,348.0,2108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,2275.0,"{'node_level': {'cpu': -45}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {3: {'cpu': -31}, 9: {'cpu': -30}, 2: {'cpu': -45}}, 'link_level': {(9, 3): {'bw': -2}, (2, 3): {'bw': 100.0}}, 'path_level': {(9, 3): {}, (2, 3): {}}}","{'node_level': {3: {'cpu': 0}, 9: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(9, 3): {'bw': 0}, (2, 3): {'bw': 100.0}}, 'path_level': {(9, 3): {}, (2, 3): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,25.0,2.0,1.0,3
8,1,1,448.0,448.0,14403.945448964754,14403.945448964754,1.0,1.0,5,8,0,70.46093094302064,9211,4522,4689,0.044984160506863824,0.04772542648253453,3,38.46093094302064,32.0,8,10,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,3
9,1,1,448.0,448.0,14403.945448964754,14403.945448964754,1.0,1.0,5,9,1,79.0,9211,4522,4689,0.044984160506863824,0.04772542648253453,8,35.506339746372724,79.0,10,22,False,{1: 12},{},"{(1, 12): {'cpu': 45}}",{},0.0,0.0,812.0,406.0,1955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,1738.0,"{'node_level': {'cpu': -30}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -43}, 0: {'cpu': -30}}, 'link_level': {(0, 1): {'bw': 100.0}}, 'path_level': {(0, 1): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 100.0}}, 'path_level': {(0, 1): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,26.0,1.0,0.0,3
10,1,1,448.0,448.0,14403.945448964754,14403.945448964754,1.0,1.0,5,10,1,81.0,9211,4522,4689,0.044984160506863824,0.04772542648253453,9,39.790226852493255,81.0,8,13,False,{4: 12},{},"{(4, 12): {'cpu': 59}}",{},0.0,0.0,642.0,321.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,2372.0,"{'node_level': {'cpu': -46}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {4: {'cpu': -29}, 5: {'cpu': -46}}, 'link_level': {(5, 4): {'bw': 100.0}}, 'path_level': {(5, 4): {}}}","{'node_level': {4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(5, 4): {'bw': 100.0}}, 'path_level': {(5, 4): {}}}",[],100.0,100.0,False,False,False,0,[],0,0.0,26.0,1.0,0.0,3
10,1,0,448.0,448.0,14403.945448964754,14403.945448964754,1.0,1.0,5,11,0,84.15166394858204,9659,4735,4924,0.0,0.0,5,32.15166394858204,52.0,5,4,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,3
