solver_name,run_id,reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,seed,p_net_dataset_dir,v_nets_dataset_dir,start_run_time,clock_running_time
ga_meta,ga_meta_tight_seed_0,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.395,0.1989406432083608,0.4081723814075666,843.5348000582803,79,0,0,0,25030.0,9581.0,3909783.798270129,9578756.369520621,0.382780663204155,4635.0,2.0670981661272925,5.400215749730313,2161,251,1853,11,0.0,-inf,0.0,3.0418415582180023,1.855700969696045,6.473196029663086,0.7041798313214677,2.9461415689202806,3.104323369412383,0,dataset/p_net/16-tree_[0.5-0.2]-cpu_[30-60]-max_cpu_None-bw_[100-200]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251120T094438,608.7606120109558
ga_meta,ga_meta_tight_seed_1,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.395,0.21051847304860216,0.4258225259451707,678.0276611305688,79,0,0,0,20834.0,8622.0,3295214.433094565,7738469.03890392,0.413842757031775,4860.0,1.7740740740740741,4.286831275720164,2446,345,2101,10,0.0,-inf,0.0,3.319157621860504,1.9101111888885498,8.22057819366455,1.0182497334489855,2.9564306494555894,3.5559793641744566,1,dataset/p_net/16-tree_[0.5-0.2]-cpu_[30-60]-max_cpu_None-bw_[100-200]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251120T095449,664.2413899898529
ga_meta,ga_meta_tight_seed_2,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.365,0.1923244411650208,0.3979658098156609,941.5567523650151,73,0,0,0,20708.0,8232.0,4563725.578713228,11467632.30948699,0.39752752559397336,4847.0,1.698370125851042,4.272333402104395,2267,209,1936,12,0.0,-inf,0.0,3.221019071340561,1.954319953918457,6.116847276687622,0.8283635541180864,3.042182599028496,3.3238148388900157,2,dataset/p_net/16-tree_[0.5-0.2]-cpu_[30-60]-max_cpu_None-bw_[100-200]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251120T100556,644.6089799404144
ga_meta,ga_meta_tight_seed_3,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.435,0.23320198532849226,0.44354964258582297,894.525824535294,87,0,0,0,23533.0,9647.0,4181908.229702499,9428275.503329566,0.4099349849148005,4675.0,2.063529411764706,5.033796791443851,2111,248,1794,13,0.0,-inf,0.0,5.240616714954376,1.9109768867492676,387.91235995292664,27.209554636485606,3.033512586834787,6.939891574657069,3,dataset/p_net/16-tree_[0.5-0.2]-cpu_[30-60]-max_cpu_None-bw_[100-200]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251120T101644,1048.533663034439
ga_meta,ga_meta_complex_seed_0,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,0,0,0,0,0,0,nan,4012.0,0.0,0.0,10495,1133,9362,0,0.0,-inf,0.0,6.00441703081131,2.0398199558258057,388.0556900501251,27.176051963554784,0,6.00441703081131,0,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_0,dataset/v_nets/200-[8-20]-random-1000-0.04-cpu_[10-40]-bw_[20-100]-seed_0,20251120T101554,1201.285659790039
ga_meta,ga_meta_tight_seed_4,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.335,0.184799336196286,0.3902602790325709,1068.1683091844873,67,0,0,0,17024.0,7172.0,4703145.065339297,12051303.49672808,0.4212875939849624,4403.0,1.628889393595276,3.866454689984102,2277,300,1950,10,0.0,-inf,0.0,2.9383327889442445,1.8417980670928955,6.37661600112915,0.6957673734119662,2.8647384323290925,2.975406637765411,4,dataset/p_net/16-tree_[0.5-0.2]-cpu_[30-60]-max_cpu_None-bw_[100-200]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251120T103415,588.0505957603455
ga_meta,ga_meta_complex_seed_1,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,0,0,0,0,0,0,nan,4701.0,0.0,0.0,9881,1235,8646,0,0.0,-inf,0.0,3.7397797000408173,2.0682568550109863,7.070395231246948,1.10131974449135,0,3.7397797000408173,1,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_1,dataset/v_nets/200-[8-20]-random-1000-0.04-cpu_[10-40]-bw_[20-100]-seed_1,20251120T103558,748.3329787254333
ga_meta,ga_meta_complex_seed_2,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.0,0.0,nan,0.0,0,0,0,0,0,0,0,0,nan,3756.0,0.0,0.0,10585,1285,9300,0,0.0,-inf,0.0,3.823436527252197,2.1217100620269775,7.570070028305054,1.1697334393357126,0,3.823436527252197,2,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_2,dataset/v_nets/200-[8-20]-random-1000-0.04-cpu_[10-40]-bw_[20-100]-seed_2,20251120T104830,765.0565440654755
ga_meta,ga_meta_complex_seed_3,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.01,0.002877264223451387,0.29098751812503054,66.07871545216945,2,0,0,0,4738.0,1362.0,307662.49914530094,1057304.7982529118,0.2874630645842127,4656.0,0.2925257731958763,1.0176116838487972,8091,998,7075,1,0.0,-inf,0.0,3.712845340967178,2.1127710342407227,6.570555210113525,1.0537896895836094,5.089992165565491,3.6989347669813366,3,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_3,dataset/v_nets/200-[8-20]-random-1000-0.04-cpu_[10-40]-bw_[20-100]-seed_3,20251120T110117,742.9391269683838
ga_meta,ga_meta_complex_seed_4,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.005,0.001254336802775554,0.2508673605551108,378.9436976557515,1,0,0,0,3747.0,940.0,1913665.6731615453,7628197.103549266,0.2508673605551108,5050.0,0.18613861386138614,0.741980198019802,7138,939,6199,1,0.0,-inf,0.0,3.5194561898708345,2.0469727516174316,6.285146951675415,1.0821614541720295,5.304107189178467,3.5104880943969268,4,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_4,dataset/v_nets/200-[8-20]-random-1000-0.04-cpu_[10-40]-bw_[20-100]-seed_4,20251120T111343,704.2638342380524
