topology,seed,v_net_id,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_arrival_time,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,solving_time,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_acceptance,best_for_time,best_overall,num_algos_accepted,num_algos_rejected
tree,0,78,3,2,931.3091862384885,3992.0,252.0,21.0,43.0,7865.0,4278,3587.0,0.0472160356347438,0.1882778909255488,10,58,0.0022804880620643,31,0.0967741935483871,7.0,21.49999998925,0.6666666664444444,64.0,0.4883720930118984,0.2478722386917854,0.0472160356347438,0.1882778909255488,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,28,163
fat_tree,0,288,5,6,591.5697840435189,2848.0,882.0,441.0,1602.0,17304.0,2649,14655.0,0.0,0.0,0,0,2.3678341823465683,20,0.25,88.2,266.9999999555,0.59999999994,2043.0,0.2752808988762326,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,ga_meta,56,132
tree,0,118,4,4,240.71655038562056,6007.0,28.0,14.0,46.0,7500.0,4206,3294.0,0.0632516703786191,0.2545824847250509,9,61,0.3477413632848241,31,0.1290322580645161,3.5,11.499999997125,0.6666666665555555,60.0,0.3043478260803403,0.2827770871186764,0.0632516703786191,0.2545824847250509,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,d_round,22,155
tree,0,91,4,4,1116.9434389077066,4614.0,91.0,13.0,55.0,8012.0,4278,3734.0,0.0472160356347438,0.1550124462548088,9,59,0.0022804880620643,31,0.1290322580645161,3.25,13.7499999965625,0.6666666665555555,68.0,0.2363636363593388,0.2338146695993115,0.0472160356347438,0.1550124462548088,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,28,158
tree,0,198,3,2,803.7580345194381,10097.0,120.0,15.0,10.0,8106.0,4310,3796.0,0.0400890868596881,0.1409821226521838,7,63,0.0094396060075217,31,0.0967741935483871,5.0,4.9999999975,0.6666666664444444,25.0,1.49999999985,0.2248254757578655,0.0400890868596881,0.1409821226521838,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,pl_rank,22,150
fat_tree,0,138,6,5,462.2878075350213,1410.0,1134.0,567.0,1227.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.2113275527954101,20,0.3,94.5,245.39999995092,0.3333333333111111,1794.0,0.4621026894861759,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,sa_meta,65,133
fat_tree,0,62,7,9,337.8532089746779,614.0,1378.0,689.0,2134.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.35,98.42857142857144,237.11111108476544,0.4285714285510204,2823.0,0.3228678537955375,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,69,131
tree,0,171,3,2,479.44917435978914,8710.0,260.0,26.0,55.0,8104.0,4306,3798.0,0.0409799554565701,0.1405295315682281,9,63,0.0022804880620643,31,0.0967741935483871,8.666666666666666,27.49999998625,0.6666666664444444,81.0,0.4727272727186777,0.2250167352013006,0.0409799554565701,0.1405295315682281,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,19,155
fat_tree,0,128,7,12,1265.8068669469217,1317.0,1102.0,551.0,3072.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.35,78.71428571428571,255.99999997866664,0.5714285714013605,3623.0,0.1793619791666083,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,79,121
tree,0,283,5,6,321.2307656097135,14211.0,78.0,39.0,141.0,8068.0,4318,3750.0,0.0383073496659243,0.1513917175831636,6,63,0.0022804880620643,31,0.1612903225806451,7.8,23.499999996083332,0.59999999994,180.0,0.2765957446788894,0.2284594051831309,0.0383073496659243,0.1513917175831636,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,22,150
tree,0,220,3,2,219.79942430456225,11119.0,220.0,22.0,50.0,7965.0,4255,3710.0,0.0523385300668151,0.1604435392622765,11,63,0.0022804880620643,31,0.0967741935483871,7.333333333333333,24.9999999875,0.6666666664444444,72.0,0.4399999999912,0.2383092665200344,0.0523385300668151,0.1604435392622765,0.4782608695444234,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,24,148
fat_tree,0,64,4,3,782.3617907767425,633.0,816.0,408.0,763.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.2,102.0,254.33333324855556,0.4999999999166666,1171.0,0.5347313237214486,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,65,135
fat_tree,0,14,8,12,2216.1445591984884,147.0,1810.0,905.0,3003.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.4,113.125,250.24999997914583,0.4285714285561224,3908.0,0.301365301365201,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,63,137
fat_tree,0,156,5,5,635.5738418425525,1576.0,910.0,455.0,1633.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.25,91.0,326.59999993468,0.49999999995,2088.0,0.2786282914878881,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,75,123
fat_tree,0,40,4,4,267.57526084600323,390.0,686.0,343.0,1181.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.4627789821624756,20,0.2,85.75,295.2499999261875,0.6666666665555555,1524.0,0.2904318374256643,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pso_meta,63,137
tree,0,192,5,5,875.5208932465456,9786.0,66.0,33.0,110.0,8173.0,4332,3841.0,0.0351893095768374,0.1307988232631817,6,63,0.0022804880620643,31,0.1612903225806451,6.6,21.9999999956,0.49999999995,143.0,0.2999999999972727,0.2184182844027924,0.0351893095768374,0.1307988232631817,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,12,160
tree,0,79,4,3,1179.00830431883,4040.0,100.0,25.0,37.0,7856.0,4270,3586.0,0.0489977728285078,0.1885041864675265,10,58,0.0022804880620643,31,0.1290322580645161,6.25,12.333333329222222,0.4999999999166666,62.0,0.6756756756574143,0.2487329061872429,0.0489977728285078,0.1885041864675265,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,30,161
fat_tree,0,187,5,9,1599.955175148315,1872.0,1214.0,607.0,2276.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.25,121.4,252.88888886079013,0.89999999991,2883.0,0.2666959578206209,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,66,126
fat_tree,0,216,8,16,239.69667421153625,2161.0,1454.0,727.0,3276.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.4,90.875,204.74999998720313,0.5714285714081633,4003.0,0.2219169719169041,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,58,132
fat_tree,0,52,8,14,992.4479625253966,516.0,1704.0,852.0,3454.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.4,106.5,246.71428569666327,0.4999999999821428,4306.0,0.2466705269252325,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,65,135
tree,0,37,4,4,510.0774073175585,1901.0,312.0,24.0,59.0,7977.0,4333,3644.0,0.0349665924276169,0.1753790450328128,7,43,13.56247525215149,31,0.1290322580645161,6.0,14.7499999963125,0.6666666665555555,83.0,0.4067796610100546,0.2371617098594243,0.0349665924276169,0.1753790450328128,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,mip,19,172
fat_tree,0,295,6,11,338.3062152822045,2919.0,1252.0,626.0,2224.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.3,104.33333333333331,202.181818163438,0.7333333332844444,2850.0,0.2814748201437583,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,55,132
fat_tree,0,251,8,18,134.8867418735272,2519.0,1720.0,860.0,4103.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.4627789821624756,20,0.4,107.5,227.94444443178085,0.6428571428341837,4963.0,0.2096027297099172,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pso_meta,59,130
tree,0,161,2,1,1201.9520319734054,8231.0,72.0,6.0,19.0,8587.0,4373,4214.0,0.0260579064587973,0.0463905861054537,6,63,0.0022804880620643,31,0.064516129032258,3.0,18.999999981,0.999999999,25.0,0.31578947366759,0.1788275796117433,0.0260579064587973,0.0463905861054537,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,35,139
tree,0,155,2,1,314.5043910709967,7901.0,16.0,4.0,19.0,8428.0,4344,4084.0,0.0325167037861915,0.0758090065625707,8,63,0.0022804880620643,31,0.064516129032258,2.0,18.999999981,0.999999999,23.0,0.2105263157783933,0.1940327053648274,0.0325167037861915,0.0758090065625707,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,26,149
tree,0,297,2,1,1234.168267274561,14889.0,105.0,21.0,15.0,8184.0,4308,3876.0,0.0405345211581291,0.1228784792939579,8,63,2.3678341823465683,31,0.064516129032258,10.5,14.999999985,0.999999999,36.0,1.3999999999066666,0.2173663574638997,0.0405345211581291,0.1228784792939579,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,ga_meta,29,143
fat_tree,0,269,7,8,209.4331346703202,2687.0,1342.0,671.0,2601.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.35,95.85714285714286,325.1249999593594,0.3809523809342404,3272.0,0.2579777008841761,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,51,137
fat_tree,0,201,6,8,296.81150261738003,2006.0,1018.0,509.0,2082.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.3,84.83333333333333,260.24999996746874,0.5333333332977778,2591.0,0.2444764649374426,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,48,142
fat_tree,0,161,4,4,166.94272104645393,1617.0,1062.0,531.0,1229.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.2,132.75,307.2499999231875,0.6666666665555555,1760.0,0.4320585842144572,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,66,130
tree,0,101,3,2,1880.921865552549,5154.0,104.0,26.0,15.0,8374.0,4343,4031.0,0.032739420935412,0.0878026702873953,7,60,0.0022804880620643,31,0.0967741935483871,8.666666666666666,7.49999999625,0.6666666664444444,41.0,1.7333333332177778,0.1991967103375729,0.032739420935412,0.0878026702873953,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,32,149
tree,0,176,4,3,82.83349507145984,8973.0,215.0,43.0,46.0,8028.0,4327,3701.0,0.0363028953229398,0.1624801991400769,8,63,0.0022804880620643,31,0.1290322580645161,10.75,15.333333328222222,0.4999999999166666,89.0,0.9347826086753308,0.2322845940518313,0.0363028953229398,0.1624801991400769,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,25,147
fat_tree,0,105,6,8,400.1798115176719,1068.0,1548.0,774.0,2265.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.3,129.0,283.12499996460934,0.5333333332977778,3039.0,0.3417218543044849,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,72,128
tree,0,89,3,2,823.4674311612376,4529.0,130.0,26.0,15.0,7993.0,4268,3725.0,0.0494432071269488,0.1570491061326091,8,58,13.56247525215149,31,0.0967741935483871,8.666666666666666,7.49999999625,0.6666666664444444,41.0,1.7333333332177778,0.2356316343119441,0.0494432071269488,0.1570491061326091,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,mip,31,159
fat_tree,0,1,4,3,1374.218773921043,17.0,656.0,328.0,370.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.2,82.0,123.33333329222222,0.4999999999166666,698.0,0.8864864864840906,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,98,102
tree,0,258,4,3,42.49251473356067,12975.0,58.0,29.0,37.0,7914.0,4360,3554.0,0.0289532293986637,0.1957456438108169,6,63,0.0022804880620643,31,0.1290322580645161,7.25,12.333333329222222,0.4999999999166666,66.0,0.7837837837626005,0.2431863823276274,0.0289532293986637,0.1957456438108169,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,21,151
fat_tree,0,80,8,17,1.0639103357534847,806.0,1528.0,764.0,3904.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.4,95.5,229.64705881002075,0.6071428571211734,4668.0,0.1956967213114253,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,70,130
fat_tree,0,205,7,7,488.6016738904192,2042.0,1402.0,701.0,1104.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.2113275527954101,20,0.35,100.14285714285714,157.7142856917551,0.3333333333174603,1805.0,0.6349637681153669,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,sa_meta,62,128
fat_tree,0,34,7,10,124.44632329109982,337.0,1438.0,719.0,2906.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.35,102.71428571428572,290.59999997094,0.4761904761678004,3625.0,0.2474191328285452,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,63,137
tree,0,208,3,3,763.3519105482605,10600.0,85.0,17.0,12.0,8184.0,4307,3877.0,0.0407572383073496,0.12265218375198,8,63,0.0022804880620643,31,0.0967741935483871,5.666666666666667,3.9999999986666666,0.9999999996666666,29.0,1.4166666665486112,0.2173663574638997,0.0407572383073496,0.12265218375198,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,32,140
tree,0,127,2,1,278.1739498312324,6498.0,33.0,11.0,0.0,7985.0,4326,3659.0,0.0365256124721603,0.1719846119031455,6,61,0.0022804880620643,31,0.064516129032258,5.5,0.0,0.999999999,11.0,11000000000.0,0.2363966720856842,0.0365256124721603,0.1719846119031455,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,36,141
tree,0,154,2,1,87.7552643872657,7856.0,160.0,20.0,27.0,8323.0,4320,4003.0,0.0378619153674832,0.0941389454627743,8,63,13.56247525215149,31,0.064516129032258,10.0,26.999999973,0.999999999,47.0,0.7407407407133059,0.2040738261451659,0.0378619153674832,0.0941389454627743,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,mip,24,151
tree,0,66,3,2,10.87992138655132,3377.0,52.0,4.0,45.0,8130.0,4301,3829.0,0.0420935412026726,0.1335143697669155,9,53,0.0022804880620643,31,0.0967741935483871,1.3333333333333333,22.49999998875,0.6666666664444444,49.0,0.0888888888869135,0.2225303624366452,0.0420935412026726,0.1335143697669155,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,34,157
fat_tree,0,91,4,4,488.8505231744937,924.0,770.0,385.0,1061.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.2,96.25,265.2499999336875,0.6666666665555555,1446.0,0.3628652214888191,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,54,146
tree,0,39,4,4,1293.8550214983395,2004.0,104.0,26.0,80.0,8227.0,4353,3874.0,0.030512249443207,0.1233310703779135,6,43,0.0022804880620643,31,0.1290322580645161,6.5,19.999999995,0.6666666665555555,106.0,0.3249999999959375,0.2132542794300468,0.030512249443207,0.1233310703779135,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,35,156
tree,0,45,3,2,1343.918455517098,2317.0,220.0,20.0,23.0,7900.0,4288,3612.0,0.044988864142539,0.1826205023761031,8,45,13.56247525215149,31,0.0967741935483871,6.666666666666667,11.49999999425,0.6666666664444444,43.0,0.8695652173534971,0.2445251984316725,0.044988864142539,0.1826205023761031,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,mip,22,169
fat_tree,0,241,8,17,195.1073297675038,2420.0,1562.0,781.0,4486.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.4,97.625,263.882352925654,0.6071428571211734,5267.0,0.1740971912616642,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,50,139
fat_tree,0,13,4,3,174.56140844684336,139.0,870.0,435.0,799.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.2,108.75,266.33333324455555,0.4999999999166666,1234.0,0.5444305381720345,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,77,123
tree,0,15,2,1,9.37545338455472,809.0,18.0,6.0,26.0,8022.0,4357,3665.0,0.0296213808463251,0.1706268386512786,8,26,13.56247525215149,31,0.064516129032258,3.0,25.999999974,0.999999999,32.0,0.230769230760355,0.2328583723821363,0.0296213808463251,0.1706268386512786,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,mip,23,168
tree,0,87,5,7,450.0628073732544,4422.0,48.0,24.0,113.0,8066.0,4306,3760.0,0.0409799554565701,0.1491287621633853,7,58,13.56247525215149,31,0.1612903225806451,4.8,16.14285714055102,0.69999999993,137.0,0.2123893805290939,0.2286506646265659,0.0409799554565701,0.1491287621633853,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,mip,24,167
fat_tree,0,273,7,10,28.754254294835015,2716.0,1270.0,635.0,2632.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.35,90.71428571428572,263.19999997368,0.4761904761678004,3267.0,0.2412613981762001,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,65,123
fat_tree,0,166,8,16,559.4477658450609,1670.0,1608.0,804.0,4239.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.4,100.5,264.9374999834414,0.5714285714081633,5043.0,0.1896673743807054,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,67,128
tree,0,294,4,3,1509.9488138593558,14734.0,364.0,26.0,37.0,8534.0,4390,4144.0,0.022271714922049,0.0622312740439013,5,63,0.0022804880620643,31,0.1290322580645161,6.5,12.333333329222222,0.4999999999166666,63.0,0.7027027026837108,0.1838959548627713,0.022271714922049,0.0622312740439013,0.2173913043383742,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,20,152
tree,0,184,4,4,769.2475375339263,9377.0,279.0,31.0,37.0,7969.0,4310,3659.0,0.0400890868596881,0.1719846119031455,8,63,0.0022804880620643,31,0.1290322580645161,7.75,9.2499999976875,0.6666666665555555,68.0,0.8378378378151936,0.2379267476331643,0.0400890868596881,0.1719846119031455,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,21,151
tree,0,285,4,4,257.41056413510296,14298.0,62.0,31.0,57.0,8027.0,4303,3724.0,0.0416481069042316,0.1572754016745869,7,63,0.0094396060075217,31,0.1290322580645161,7.75,14.2499999964375,0.6666666665555555,88.0,0.5438596491132657,0.2323802237735488,0.0416481069042316,0.1572754016745869,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,pl_rank,13,159
tree,0,204,3,3,500.24845641318694,10402.0,308.0,22.0,39.0,8089.0,4268,3821.0,0.0494432071269488,0.1353247341027381,9,63,0.0022804880620643,31,0.0967741935483871,7.333333333333333,12.999999995666666,0.9999999996666666,61.0,0.5641025640881,0.2264511810270632,0.0494432071269488,0.1353247341027381,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,25,147
fat_tree,0,243,8,12,451.5425827716288,2442.0,1524.0,762.0,2912.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.2113275527954101,20,0.4,95.25,242.66666664644444,0.4285714285561224,3674.0,0.2616758241757343,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,sa_meta,56,133
tree,0,262,4,4,812.1824776690048,13169.0,40.0,20.0,82.0,8350.0,4393,3957.0,0.0216035634743875,0.1045485403937542,5,63,0.0022804880620643,31,0.1290322580645161,5.0,20.499999994875,0.6666666665555555,102.0,0.2439024390214158,0.2014918236587931,0.0216035634743875,0.1045485403937542,0.2173913043383742,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,23,149
fat_tree,0,189,5,8,14.351031677155596,1891.0,890.0,445.0,1766.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.25,89.0,220.74999997240624,0.79999999992,2211.0,0.2519818799545572,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,60,131
tree,0,175,2,1,324.2217124838453,8914.0,45.0,9.0,7.0,8111.0,4342,3769.0,0.0329621380846325,0.147092102285585,8,63,0.0022804880620643,31,0.064516129032258,4.5,6.999999992999999,0.999999999,16.0,1.2857142855306125,0.2243473271492779,0.0329621380846325,0.147092102285585,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,29,143
tree,0,210,2,1,178.51488882374093,10677.0,15.0,5.0,16.0,8209.0,4300,3909.0,0.0423162583518931,0.1154107264086897,9,63,0.0022804880620643,31,0.064516129032258,2.5,15.999999984,0.999999999,21.0,0.3124999999804687,0.214975614420962,0.0423162583518931,0.1154107264086897,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,28,144
fat_tree,0,58,4,4,381.6089317019422,577.0,862.0,431.0,775.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.2,107.75,193.7499999515625,0.6666666665555555,1206.0,0.5561290322573469,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,60,140
tree,0,174,3,3,362.6874982033705,8864.0,120.0,24.0,42.0,7900.0,4294,3606.0,0.043652561247216,0.1839782756279701,9,63,0.0022804880620643,31,0.0967741935483871,8.0,13.999999995333331,0.9999999996666666,66.0,0.5714285714149661,0.2445251984316725,0.043652561247216,0.1839782756279701,0.3913043478090737,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,32,140
tree,0,260,5,9,57.71595561910469,13076.0,78.0,39.0,125.0,7928.0,4347,3581.0,0.03184855233853,0.1896356641774157,6,63,0.0094396060075217,31,0.1612903225806451,7.8,13.88888888734568,0.89999999991,164.0,0.311999999997504,0.2418475662235822,0.03184855233853,0.1896356641774157,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,pl_rank,18,154
fat_tree,0,252,6,12,89.84745782970349,2532.0,1116.0,558.0,2891.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.3477413632848241,20,0.3,93.0,240.91666664659027,0.7999999999466667,3449.0,0.193012798339608,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,d_round,57,132
fat_tree,0,21,6,8,94.68411448629094,206.0,918.0,459.0,2066.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.3,76.5,258.24999996771874,0.5333333332977778,2525.0,0.2221684414326127,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,75,125
tree,0,13,5,5,882.990015090164,712.0,60.0,30.0,84.0,8147.0,4397,3750.0,0.0207126948775056,0.1513917175831636,6,22,0.0094396060075217,31,0.1612903225806451,6.0,16.79999999664,0.49999999995,114.0,0.3571428571386054,0.2209046571674476,0.0207126948775056,0.1513917175831636,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,pl_rank,26,165
tree,0,159,4,3,187.1793619718783,8122.0,210.0,35.0,36.0,8093.0,4307,3786.0,0.0407572383073496,0.1432450780719619,10,63,0.0022804880620643,31,0.1290322580645161,8.75,11.999999996,0.4999999999166666,71.0,0.972222222195216,0.2260686621401931,0.0407572383073496,0.1432450780719619,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,26,148
fat_tree,0,160,4,4,337.2674369299655,1606.0,934.0,467.0,1222.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.2,116.75,305.499999923625,0.6666666665555555,1689.0,0.3821603927983779,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,71,125
fat_tree,0,276,6,5,566.9734909058881,2742.0,1130.0,565.0,1350.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.2113275527954101,20,0.3,94.16666666666669,269.999999946,0.3333333333111111,1915.0,0.4185185185182085,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,sa_meta,59,129
fat_tree,0,191,7,14,218.60521787307712,1907.0,1336.0,668.0,3506.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.2113275527954101,20,0.35,95.42857142857144,250.42857141068367,0.6666666666349206,4174.0,0.1905305191100426,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,sa_meta,72,119
tree,0,85,4,3,457.03448546428353,4315.0,56.0,28.0,65.0,8005.0,4285,3720.0,0.0456570155902004,0.1581805838424983,8,58,13.56247525215149,31,0.1290322580645161,7.0,21.666666659444445,0.4999999999166666,93.0,0.4307692307626035,0.234484077651334,0.0456570155902004,0.1581805838424983,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,mip,31,160
tree,0,113,5,6,598.7589219859557,5737.0,882.0,63.0,56.0,7679.0,4198,3481.0,0.065033407572383,0.2122652183751979,8,60,0.0022804880620643,31,0.1612903225806451,12.6,9.333333331777778,0.59999999994,119.0,1.1249999999799107,0.2656593669312422,0.065033407572383,0.2122652183751979,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,37,141
tree,0,191,4,3,1495.929804540514,9736.0,261.0,29.0,51.0,8173.0,4332,3841.0,0.0351893095768374,0.1307988232631817,6,63,0.0022804880620643,31,0.1290322580645161,7.25,16.999999994333333,0.4999999999166666,80.0,0.5686274509692426,0.2184182844027924,0.0351893095768374,0.1307988232631817,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,26,146
tree,0,43,5,5,739.5953931826461,2206.0,52.0,26.0,92.0,8295.0,4357,3938.0,0.0296213808463251,0.1088481556913328,6,43,0.0022804880620643,31,0.1612903225806451,5.2,18.39999999632,0.49999999995,118.0,0.282608695649102,0.2067514583532561,0.0296213808463251,0.1088481556913328,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,26,165
tree,0,8,5,6,1753.612211171093,453.0,78.0,39.0,92.0,8316.0,4421,3895.0,0.0153674832962138,0.1185788639963792,4,15,0.0022804880620643,31,0.1612903225806451,7.8,15.333333330777778,0.59999999994,131.0,0.4239130434736531,0.2047432341971885,0.0153674832962138,0.1185788639963792,0.1739130434706994,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,28,163
