topology,seed,v_net_id,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_arrival_time,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,solving_time,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_acceptance,best_for_time,best_overall,num_algos_accepted,num_algos_rejected
fat_tree,0,240,6,7,417.1645500540659,2411.0,1352.0,676.0,1851.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.3,112.66666666666669,264.4285713907959,0.4666666666355555,2527.0,0.3652079956778146,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,48,141
tree,0,207,4,5,295.42729188124565,10552.0,46.0,23.0,90.0,8187.0,4314,3873.0,0.0391982182628062,0.1235573659198914,8,63,0.0022804880620643,31,0.1290322580645161,5.75,17.9999999964,0.8333333331944445,113.0,0.255555555552716,0.2170794682987472,0.0391982182628062,0.1235573659198914,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,28,144
tree,0,51,3,2,406.7014721646398,2626.0,300.0,25.0,12.0,7875.0,4265,3610.0,0.0501113585746102,0.1830730934600588,10,48,13.56247525215149,31,0.0967741935483871,8.333333333333334,5.999999997,0.6666666664444444,37.0,2.083333333159722,0.2469159414746102,0.0501113585746102,0.1830730934600588,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,mip,39,152
tree,0,216,3,3,2550.8019862998763,10951.0,128.0,32.0,38.0,8229.0,4317,3912.0,0.0385300668151448,0.1147318397827562,8,63,0.0022804880620643,31,0.0967741935483871,10.666666666666666,12.666666662444444,0.9999999996666666,70.0,0.8421052631357342,0.2130630199866118,0.0385300668151448,0.1147318397827562,0.3478260869413989,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,32,140
fat_tree,0,178,6,10,486.8442522757859,1785.0,1544.0,772.0,2716.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.2113275527954101,20,0.3,128.66666666666666,271.59999997284,0.6666666666222222,3488.0,0.2842415316641074,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,sa_meta,70,122
tree,0,160,5,7,1240.2913266847772,8177.0,78.0,39.0,149.0,8473.0,4357,4116.0,0.0296213808463251,0.0685675492192804,7,63,13.56247525215149,31,0.1612903225806451,7.8,21.28571428267347,0.69999999993,188.0,0.2617449664411964,0.1897293678875394,0.0296213808463251,0.0685675492192804,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,mip,25,149
tree,0,226,2,1,991.506912687122,11422.0,128.0,16.0,2.0,8171.0,4320,3851.0,0.0378619153674832,0.1285358678434035,7,63,0.0022804880620643,31,0.064516129032258,8.0,1.999999998,0.999999999,18.0,7.999999996,0.2186095438462274,0.0378619153674832,0.1285358678434035,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,25,147
fat_tree,0,41,4,3,664.6247754682353,398.0,924.0,462.0,638.0,17304.0,2649,14655.0,0.0,0.0,0,0,13.56247525215149,20,0.2,115.5,212.66666659577777,0.4999999999166666,1100.0,0.7241379310333478,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,mip,67,133
tree,0,254,3,2,312.7456506837732,12749.0,76.0,38.0,42.0,7891.0,4349,3542.0,0.0314031180400891,0.1984611903145507,6,63,0.0022804880620643,31,0.0967741935483871,12.666666666666666,20.9999999895,0.6666666664444444,80.0,0.9047619047403628,0.2453858659271302,0.0314031180400891,0.1984611903145507,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,23,149
tree,0,222,3,2,87.41197482552799,11232.0,165.0,11.0,22.0,8115.0,4286,3829.0,0.0454342984409799,0.1335143697669155,10,63,0.0022804880620643,31,0.0967741935483871,3.6666666666666665,10.9999999945,0.6666666664444444,33.0,0.4999999999772727,0.2239648082624079,0.0454342984409799,0.1335143697669155,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,29,143
